node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,300,1.493456538048786e-31,7.449764883882461e-32,7.449764883882259e-32,-500000.6677516986,-149345.6538048803,-74497.64883882365,-74497.64883882327
2,300.6667324450362,0.0004002000369702917,-7.432247077520664e-32,-7.432247077520204e-32,0,0,74322.47077520672,74322.47077520798
3,400,0.00100588428925462,-1.751780636160814e-34,-1.751780636139356e-34,74500099.33224827,0,175.1780636257672,175.1780636263401
4,300,1.3137173103037e-45,-0.0001952047476507235,7.44976488388226e-32,-499900.6677976243,-1.2732925824821e-09,0,-74497.6488388217
5,300.6665946680446,3.2547412232745e-06,0.0002054654305382288,-7.432247077519727e-32,0,0,0,74322.47077520583
6,400,0.0006080099626229393,0.001000293811820132,-1.751780636174827e-34,74500699.33220235,0,0,175.1780636225928
7,300,4.379057701015053e-47,7.449764883882052e-32,-0.0001952047476507265,-501250.6671961443,4.001776687800884e-10,-74497.64883882085,0
8,300.6683991079992,3.254741223271315e-06,-7.432247077521456e-32,0.0002054654305382252,0,0,74322.47077520675,0
9,400,0.0006080099626229456,-1.751780636137824e-34,0.00100029381182013,74498849.33280385,0,175.1780636230675,0
10,300,-1.493456538048768e-31,-0.0001952047476507298,-0.00019520474765073,-501150.6672420737,149345.6538048794,0,0
11,300.6682613198966,-0.0003936905545237399,0.0002054654305382286,0.0002054654305382354,0,0,0,0
12,400,0.0002101356359912155,0.001000293811820127,0.001000293811820125,74499449.33275792,0,0,0
