case,node,rf_x_n,rf_y_n,rf_z_n
regular_general_default,1,-6811198441.068876,-5944485610.697646,-5865310880.984424
regular_general_default,2,6045070284.343933,-5290890596.747858,-5677706046.011765
regular_general_default,3,6728532221.174256,5797419635.473593,-5773397224.898906
regular_general_default,4,-6216788445.804361,5098314837.705553,-5772191832.122588
regular_general_default,5,-6598360998.844698,-5791884817.328156,5559821800.846502
regular_general_default,6,6264347322.51061,-5142731971.490073,5732498773.348143
regular_general_default,7,6783104134.636327,5984729327.167261,5906806191.508652
regular_general_default,8,-6194706076.947187,5289529195.917328,5889479218.314385
regular_general_weak,1,-6816095174.552634,-5949367646.30656,-5864706783.394411
regular_general_weak,2,6049717305.934714,-5286602866.053936,-5682212768.403537
regular_general_weak,3,6725826715.538137,5802268237.131869,-5766295339.165778
regular_general_weak,4,-6213507713.376882,5094182872.656041,-5774961247.153581
regular_general_weak,5,-6607154241.375195,-5786991317.271268,5558568909.027073
regular_general_weak,6,6273481669.703133,-5146645912.908767,5737775126.759429
regular_general_weak,7,6770944648.849925,5979411310.669833,5898605106.57187
regular_general_weak,8,-6183213210.7212,5293745322.082785,5893226995.758933
regular_hourglass_vector_default,1,165927117.68,158962465.52,163328829.0933334
regular_hourglass_vector_default,2,-164036541.2,162188653.2,155204978.2666667
regular_hourglass_vector_default,3,-157039153.52,-164147111.28,164467144.0266667
regular_hourglass_vector_default,4,154822745.3600001,-156813938.96,159014674.8533333
regular_hourglass_vector_default,5,164163253.5200001,156940651.28,-156608550.6933334
regular_hourglass_vector_default,6,-165800405.36,164020398.96,-161735188.1866667
regular_hourglass_vector_default,7,-154949457.6800001,-162315365.52,-157611102.4266667
regular_hourglass_vector_default,8,156912441.2,-158835753.2,-166060784.9333333
regular_hourglass_vector_weak,1,161528390.0109968,161528389.9935852,160029783.341581
regular_hourglass_vector_weak,2,-159601610.0110874,159601610.0064676,158531176.6583512
regular_hourglass_vector_weak,3,-161528389.988777,-161528390.0065468,161100216.675084
regular_hourglass_vector_weak,4,159601609.9880529,-159601609.9930308,162598823.324373
regular_hourglass_vector_weak,5,159601610.0114041,159601609.9933476,-160029783.3247802
regular_hourglass_vector_weak,6,-161528390.0106801,161528390.0062301,-158531176.6746767
regular_hourglass_vector_weak,7,-159601609.9883696,-159601610.0067844,-161100216.657944
regular_hourglass_vector_weak,8,161528389.9884602,-161528389.9932684,-162598823.3419883
regular_hourglass_x_small_default,1,160539004.4576,160501300,160490599.9133332
regular_hourglass_x_small_default,2,-160539004.4576,160501300,160490599.9133335
regular_hourglass_x_small_default,3,-160463580.4576,-160501300,160512000.0866668
regular_hourglass_x_small_default,4,160463580.4576,-160501300,160512000.0866665
regular_hourglass_x_small_default,5,160539004.4576,160501300,-160490599.9133335
regular_hourglass_x_small_default,6,-160539004.4576,160501300,-160490599.9133332
regular_hourglass_x_small_default,7,-160463580.4576,-160501300,-160512000.0866665
regular_hourglass_x_small_default,8,160463580.4576,-160501300,-160512000.0866668
regular_hourglass_x_small_weak,1,160501300.0000943,160501300,160490599.9133332
regular_hourglass_x_small_weak,2,-160501300.0000943,160501300,160490599.9133335
regular_hourglass_x_small_weak,3,-160501299.9999057,-160501300,160512000.0866668
regular_hourglass_x_small_weak,4,160501299.9999057,-160501300,160512000.0866665
regular_hourglass_x_small_weak,5,160501300.0000943,160501300,-160490599.9133335
regular_hourglass_x_small_weak,6,-160501300.0000943,160501300,-160490599.9133332
