node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,300,1.191555956317363e-33,4.414012704258771e-34,4.414012704211477e-34,-500011.4035296287,-501190.7194662009,-221186.9952336594,-221186.9952336595
2,300.6668625394806,1.180861053239466e-05,-4.831275483521619e-06,-4.8312754835212e-06,0,0,0,0
3,400,0.0006273255272766433,-0.0005953757185777558,-0.0005953757185777541,74665039.99781391,0,0,0
4,300,1.191555956313247e-33,-4.414012704227679e-34,4.414012704229431e-34,-499911.4020725953,-501190.7194662009,221186.9952336594,-221186.9952336595
5,300.6667247898361,1.18086105323948e-05,4.83127548352156e-06,-4.831275483521057e-06,0,0,0,0
6,400,0.0006273255272766434,0.0005953757185777553,-0.000595375718577754,74665640.84571019,0,0,0
7,300,1.191555956323757e-33,4.414012704274535e-34,-4.414012704264901e-34,-501261.4217610621,-501190.7194662007,-221186.9952336594,221186.9952336595
8,300.6685288611388,1.180861053239372e-05,-4.831275483521716e-06,4.831275483521988e-06,0,0,0,0
9,400,0.000627325527276642,-0.000595375718577756,0.000595375718577757,74663788.2318234,0,0,0
10,300,1.191555956319728e-33,-4.414012704211477e-34,-4.414012704246947e-34,-501161.4203040324,-501190.7194662007,221186.9952336594,221186.9952336595
11,300.6683911003879,1.180861053239393e-05,4.831275483521425e-06,4.83127548352208e-06,0,0,0,0
12,400,0.0006273255272766422,0.0005953757185777552,0.0005953757185777573,74664389.07971968,0,0,0
