stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,2.813600008874781e-33,4.688319905355406e-33,4.688319905356704e-33,1.838022472678947e-14,-24986256.43478668,-8.789159036534717e-05,-8.789172063903009e-05
1,0.1,2,600,0.0005,4.688319905355662e-33,4.688319905355666e-33,0,24986256.43478668,-8.789159036534717e-05,-8.789146254810483e-05
1,0.1,3,600,0.0005,-0.0001499512658376889,4.68831990535502e-33,0,24986256.43478668,0,-8.789172080839859e-05
1,0.1,4,600,2.813600008874781e-33,-0.0001499512658376889,4.688319905356047e-33,1.482626769142982e-14,-24986256.43478668,0,-8.789197889932385e-05
1,0.1,5,600,2.813600008871979e-33,4.688319905356055e-33,-0.0001499512658376889,-1.360538859144737e-14,-24986256.43478668,-8.789185108208151e-05,0
1,0.1,6,600,0.0005,4.688319905356314e-33,-0.0001499512658376889,0,24986256.43478668,-8.789185108208151e-05,0
1,0.1,7,600,0.0005,-0.0001499512658376889,-0.0001499512658376889,0,24986256.43478668,0,0
1,0.1,8,600,2.813600008871979e-33,-0.0001499512658376889,-0.0001499512658376889,-1.715934562680702e-14,-24986256.43478668,0,0
2,0.2,1,600,-1.616235435343764e-33,-1.625228718014789e-33,-1.625228717999478e-33,1.81160179606961e-16,-50413634.64503259,-0.0001859362820389601,-0.0001859510176138106
2,0.2,2,600,0.002,-1.625228718022941e-33,-1.625228718000516e-33,0,50413634.64503259,-0.0001859362820389601,-0.000185951384599923
2,0.2,3,600,0.002,-0.0007967074265368893,-1.625228717995557e-33,0,50413634.64503259,0,-0.0001859515071648212
2,0.2,4,600,-1.616235435346567e-33,-0.0007967074265368893,-1.625228718000135e-33,-5.154314278151685e-15,-50413634.64503259,0,-0.0001859511401787088
2,0.2,5,600,-1.616235435346567e-33,-1.62522871801414e-33,-0.0007967074265368887,-5.154314278151684e-15,-50413634.64503259,-0.0001859364046038582,0
2,0.2,6,600,0.002,-1.625228718013881e-33,-0.0007967074265368887,0,50413634.64503259,-0.0001859364046038582,0
2,0.2,7,600,0.002,-0.0007967074265368893,-0.0007967074265368887,0,50413634.64503259,0,0
2,0.2,8,600,-1.616235435340962e-33,-0.0007967074265368893,-0.0007967074265368887,-1.048978873591033e-14,-50413634.64503259,0,0
3,0.3,1,600,-6.442137037763807e-33,-6.497207549103752e-33,-6.497207549105256e-33,1.187142961099707e-14,-51297216.22935104,-0.001854102254674762,-0.001854095103414901
3,0.3,2,600,0.004,-6.497207549100692e-33,-6.4972075491119e-33,0,51297216.22935104,-0.001854102293849098,-0.001854094589448887
3,0.3,3,600,0.004,-0.001788484223452949,-6.49720754910694e-33,0,51297216.22935104,0,-0.001854093937999883
3,0.3,4,600,-6.442137037761004e-33,-0.001788484223452949,-6.497207549105911e-33,1.053622518152409e-14,-51297216.22935104,0,-0.001854094451965897
3,0.3,5,600,-6.442137037772214e-33,-6.497207549103102e-33,-0.00178848422345295,-1.794813598056601e-14,-51297216.22935104,-0.001854101681574431,0
3,0.3,6,600,0.004,-6.497207549102843e-33,-0.00178848422345295,0,51297216.22935104,-0.001854101720748767,0
3,0.3,7,600,0.004,-0.001788484223452948,-0.00178848422345295,0,51297216.22935104,0,0
3,0.3,8,600,-6.442137037766609e-33,-0.001788484223452949,-0.00178848422345295,-1.928334041003899e-14,-51297216.22935104,0,0
4,0.4,1,600,4.449234262993097e-32,7.451550103644881e-32,7.451550103644574e-32,-1.357121424524637e-14,48104891.81098551,-0.02219239236750008,-0.02219239353725375
4,0.4,2,600,0.002,7.451550103644986e-32,7.451550103644527e-32,0,-48104891.81098551,-0.02219239242633193,-0.02219239304228307
4,0.4,3,600,0.002,-0.00119117006201122,7.451550103645529e-32,0,-48104891.81098551,0,-0.02219239351342648
4,0.4,4,600,4.449234262992257e-32,-0.00119117006201122,7.451550103645577e-32,-9.348964472243818e-15,48104891.81098551,0,-0.02219239400839716
4,0.4,5,600,4.449234262992257e-32,7.451550103645869e-32,-0.001191170062011221,1.909566557745755e-14,48104891.81098551,-0.02219239276020102,0
4,0.4,6,600,0.002,7.451550103645977e-32,-0.001191170062011221,0,-48104891.81098551,-0.02219239281903287,0
4,0.4,7,600,0.002,-0.00119117006201122,-0.001191170062011221,0,-48104891.81098551,0,0
4,0.4,8,600,4.449234262991696e-32,-0.00119117006201122,-0.001191170062011221,2.331791535046009e-14,48104891.81098551,0,0
5,0.5,1,600,-6.098175680880297e-33,-6.131443277636298e-33,-6.131443277628153e-33,-1.997982319066264e-14,52416022.63474209,-0.001704037265057568,-0.00170403735123734
5,0.5,2,600,0,-6.131443277635247e-33,-6.131443277634229e-33,0,-52416022.63474209,-0.001704037324005093,-0.001704037218176146
5,0.5,3,600,0,-0.0002097302622592473,-6.131443277635423e-33,0,-52416022.63474209,0,-0.001704037357123176
5,0.5,4,600,-6.098175680877495e-33,-0.0002097302622592477,-6.131443277629336e-33,-1.420787426891566e-14,52416022.63474209,0,-0.001704037490184371
5,0.5,5,600,-6.098175680877495e-33,-6.131443277637623e-33,-0.0002097302622592488,1.420787426891566e-14,52416022.63474209,-0.001704037384355424,0
5,0.5,6,600,0,-6.131443277630945e-33,-0.0002097302622592486,0,-52416022.63474209,-0.001704037443302948,0
5,0.5,7,600,0,-0.0002097302622592475,-0.0002097302622592486,0,-52416022.63474209,0,0
5,0.5,8,600,-6.098175680877495e-33,-0.0002097302622592477,-0.0002097302622592488,1.997982319066264e-14,52416022.63474209,0,0
6,0.6000000000000001,1,600,-6.555083071907588e-33,-6.571263510656864e-33,-6.571263510626298e-33,-1.54025252585226e-14,53513300.18334218,-0.001892241894758524,-0.001892267750719897
6,0.6000000000000001,2,600,-0.002,-6.571263510644603e-33,-6.571263510621164e-33,0,-53513300.18334218,-0.001892241953823711,-0.001892267735101534
6,0.6000000000000001,3,600,-0.002,0.0007875944542303829,-6.571263510616752e-33,0,-53513300.18334218,0,-0.001892271053846286
6,0.6000000000000001,4,600,-6.555083071893575e-33,0.0007875944542303827,-6.571263510627481e-33,-1.03016991763171e-14,53513300.18334218,0,-0.001892271069464649
6,0.6000000000000001,5,600,-6.55508307189918e-33,-6.571263510646978e-33,0.0007875944542303618,1.808550684639179e-14,53513300.18334218,-0.001892237318456587,0
6,0.6000000000000001,6,600,-0.002,-6.571263510645905e-33,0.0007875944542303621,0,-53513300.18334218,-0.001892237377521775,0
6,0.6000000000000001,7,600,-0.002,0.0007875944542303612,0.0007875944542303837,0,-53513300.18334218,0,0
6,0.6000000000000001,8,600,-6.55508307189918e-33,0.0007875944542303608,0.0007875944542303835,2.318633292859729e-14,53513300.18334218,0,0
7,0.7000000000000001,1,600,-6.594458797569789e-33,-6.591058324762631e-33,-6.591058324782512e-33,2.130491915599865e-15,54616963.09054396,-0.001905600834379032,-0.001905607970460106
7,0.7000000000000001,2,600,-0.004,-6.591058324772791e-33,-6.591058324771773e-33,0,-54616963.09054396,-0.001905600893562354,-0.001905608645301084
7,0.7000000000000001,3,600,-0.004,0.001787917683925078,-6.591058324772966e-33,0,-54616963.09054396,0,-0.001905608426471298
7,0.7000000000000001,4,600,-6.594458797566986e-33,0.001787917683925077,-6.591058324783695e-33,4.456786193507399e-15,54616963.09054396,0,-0.00190560775163032
7,0.7000000000000001,5,600,-6.594458797572592e-33,-6.591058324769561e-33,0.001787917683925077,4.456786193507399e-15,54616963.09054396,-0.00190560063527702,0
7,0.7000000000000001,6,600,-0.004,-6.591058324779699e-33,0.001787917683925077,0,-54616963.09054396,-0.001905600694460342,0
7,0.7000000000000001,7,600,-0.004,0.001787917683925078,0.001787917683925077,0,-54616963.09054396,0,0
7,0.7000000000000001,8,600,-6.594458797566986e-33,0.001787917683925077,0.001787917683925077,6.783080471414932e-15,54616963.09054396,0,0
8,0.8,1,600,-1.106464384251308e-33,-1.107493352385837e-33,-1.107493352372087e-33,1.787167200028124e-14,-54912359.30310588,-0.0003224378295862781,-0.0003224413982836001
8,0.8,2,600,-0.001,-1.107493352384786e-33,-1.107493352378163e-33,0,54912359.30310588,-0.0003224378886434684,-0.0003224417684340479
8,0.8,3,600,-0.001,0.0007198430142276472,-1.107493352373751e-33,0,54912359.30310588,0,-0.0003224405636925224
8,0.8,4,600,-1.106464384251308e-33,0.000719843014227647,-1.107493352376072e-33,1.542986738513518e-14,-54912359.30310588,0,-0.0003224401935420746
8,0.8,5,600,-1.106464384251308e-33,-1.107493352387162e-33,0.0007198430142276464,-1.298385904565532e-14,-54912359.30310588,-0.0003224366248447527,0
8,0.8,6,600,-0.001,-1.107493352386089e-33,0.0007198430142276466,0,54912359.30310588,-0.0003224366839019429,0
8,0.8,7,600,-0.001,0.0007198430142276474,0.0007198430142276466,0,54912359.30310588,0,0
8,0.8,8,600,-1.106464384251308e-33,0.000719843014227647,0.0007198430142276466,-1.542566366080138e-14,-54912359.30310588,0,0
9,0.9,1,600,-2.581380146835262e-32,-2.599168770191207e-32,-2.599168770192074e-32,-3.891069065212687e-15,-56667432.16422378,-0.02977168310532831,-0.02977168303132963
9,0.9,2,600,0.003,-2.599168770189981e-32,-2.599168770191561e-32,0,56667432.16422378,-0.02977168316415091,-0.02977168312050439
9,0.9,3,600,0.003,-0.00126969897304186,-2.599168770191119e-32,0,56667432.16422378,0,-0.02977168132867662
9,0.9,4,600,-2.581380146836383e-32,-0.001269698973041861,-2.59916877019023e-32,-3.322216549159979e-16,-56667432.16422378,0,-0.02977168123950185
9,0.9,5,600,-2.581380146835262e-32,-2.599168770189097e-32,-0.001269698973041859,-3.322216549159979e-16,-56667432.16422378,-0.02977168119585534,0
9,0.9,6,600,0.003,-2.599168770191232e-32,-0.001269698973041858,0,56667432.16422378,-0.02977168125467794,0
9,0.9,7,600,0.003,-0.00126969897304186,-0.001269698973041858,0,56667432.16422378,0,0
9,0.9,8,600,-2.581380146836383e-32,-0.001269698973041861,-0.001269698973041858,3.226625755380691e-15,-56667432.16422378,0,0
10,1,1,600,-8.684537516301736e-34,-8.733076522875574e-34,-8.733076522864189e-34,-1.775950674085277e-15,57143408.89054451,-0.0002415371752813635,-0.000241537174693165
10,1,2,600,0,-8.733076522907103e-34,-8.733076522868896e-34,0,-57143408.89054451,-0.0002415372342266567,-0.0002415372348148552
10,1,3,600,0,-0.0002286507451456036,-8.733076522922868e-34,0,-57143408.89054451,0,-0.0002415373975561568
10,1,4,600,-8.684537516301736e-34,-0.0002286507451456038,-8.733076522904038e-34,-0,57143408.89054451,0,-0.0002415373374344667
10,1,5,600,-8.684537516301736e-34,-8.733076522902834e-34,-0.0002286507451456016,-0,57143408.89054451,-0.0002415373380226651,0
10,1,6,600,0,-8.733076522920131e-34,-0.0002286507451456016,0,-57143408.89054451,-0.0002415373969679583,0
10,1,7,600,0,-0.0002286507451456032,-0.0002286507451456012,0,-57143408.89054451,0,0
10,1,8,600,-8.684537516315749e-34,-0.0002286507451456036,-0.0002286507451456014,1.775950674085277e-15,57143408.89054451,0,0
