stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.5008871412492421,0.4997070842242103,0.4997070842242102,600,300351808.0511637,-1.384317874908447e-05,-1.387298107147217e-05,-5.99453329667638e-09,4.223839251230783e-09,4.314350251219297e-10,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.000450527712076794,-0.0004505277120767944,-7.792893285679295e-20,5.490991026600019e-20,5.608655326585086e-21,0.000270950996092761,-0.0001354754980463804,-0.0001354754980463805,-1.622322281045432e-20,1.143112931347838e-20,1.167608251449317e-21,0.000270950996092761,1.000600884341525
2,0.2,1,1,0.5010231903296338,0.4996392745035945,0.4996392745035945,600.0000000000001,300433338.4861706,0.4860706329345703,0.4860706329345703,2.702180428320707e-10,9.034963406137681e-09,3.570616690498054e-10,0.002044289674514247,-0.0007217113638160605,-0.0007217113638160605,0,0,0,0.001502166690972642,-0.000450650006028009,-0.0004506500060280087,3.512834556816922e-21,1.174545242797899e-19,4.64180169764747e-21,0.0005421226995431627,-0.0002710613497715813,-0.0002710613497715814,-2.095556609909017e-20,3.426014737029437e-20,2.134461880386933e-21,0.0005421226995431627,1.000601047503588
3,0.3,1,1,0.5011593873805205,0.4995714186961858,0.4995714186961858,600,300514958.5702164,0.4874986559152603,0.4874985963106155,-1.157210125747597e-09,6.214776680224628e-09,-1.861289721895541e-09,0.002316090551428901,-0.0008575301815584132,-0.0008575301815584132,0,0,0,0.001502574791388587,-0.0004507724361490799,-0.00045077243614908,-1.504373163471877e-20,8.079209684292021e-20,-2.419676638464204e-20,0.0008135154743685194,-0.0004067577371842597,-0.0004067577371842599,-2.46583351034072e-20,4.848579449702461e-20,-2.908287927495565e-21,0.0008135154743685195,1.000601210843147
4,0.4,1,1,0.5012957326805644,0.4995035167346033,0.4995035167346033,600,300596667.4702677,0.4889155030250549,0.4889155030250549,-7.166853265332515e-10,2.584224207656229e-09,-6.775130890500579e-10,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884593,-0.0004508949994941978,-0.0004508949994941974,-9.316909244932272e-21,3.359491469953098e-20,-8.807670157650754e-21,0.001085129681445754,-0.0005425648407228769,-0.0005425648407228771,-3.270353331795753e-20,6.848141281600133e-20,-4.74485699841805e-21,0.001085129681445754,1.000601374360474
5,0.5,1,1,0.501432226512433,0.4994355685497081,0.4994355685497081,600,300678465.3556002,0.4903374314308167,0.4903374910354614,-5.734245173469993e-10,4.164569617761371e-09,3.019850239528821e-10,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172196,-0.0004510176963172193,-7.454518725510993e-21,5.413940503089784e-20,3.925805311387468e-21,0.001356965682536197,-0.0006784828412680986,-0.0006784828412680988,-2.835790770234199e-20,7.243089593619522e-20,-3.925805311387466e-21,0.001356965682536197,1.000601538055909
6,0.6000000000000001,1,1,0.5015688691595651,0.4993675740722008,0.4993675740722008,600,300760352.3959857,0.4917647540569305,0.4917646944522858,-2.841536525059958e-09,6.562601036298559e-10,1.543531464128623e-09,0.003132825891509697,-0.001265652455871664,-0.001265652455871664,0,0,0,0.001503801760504634,-0.0004511405268728017,-0.0004511405268728021,-3.693997482577946e-20,8.531381347188132e-21,2.00659090336721e-20,0.001629023840288619,-0.0008145119201443096,-0.0008145119201443099,-2.540721112885534e-20,8.502529617966056e-20,2.628817004311115e-22,0.001629023840288619,1.000601701929791
7,0.7000000000000001,1,1,0.5017056609061722,0.4992995332326217,0.4992995332326217,600,300842328.7616582,0.493197113275528,0.4931970685720444,-2.400727016052135e-09,1.453709055973808e-09,-4.47920026856632e-10,0.003405516452976996,-0.001401915759602739,-0.001401915759602739,0,0,0,0.0015042116423287,-0.0004512634914162973,-0.0004512634914162979,-3.120945120867775e-20,1.88982177276595e-20,-5.822960349136216e-21,0.001901304518242133,-0.0009506522591210665,-0.0009506522591210668,-4.138026697318872e-20,9.839390868930135e-20,-9.533032288981862e-22,0.001901304518242133,1.000601865982461
8,0.8,1,1,0.5018426020372423,0.4992314459613493,0.4992314459613493,600,300924394.6233168,0.494634672999382,0.4946347326040268,-2.198542395320423e-09,2.862961759377682e-09,-8.016474324581695e-10,0.003678430346561789,-0.001538290639895022,-0.001538290639895022,0,0,0,0.00150462197163268,-0.0004513865902037539,-0.0004513865902037539,-2.85810511391655e-20,3.721850287190987e-20,-1.04214166219562e-20,0.002173808080829111,-0.001086904040414556,-0.001086904040414556,-4.234763634808657e-20,1.047028694991913e-19,-3.1311105341126e-21,0.002173808080829111,1.000602030214261
9,0.9,1,1,0.5019796928385424,0.4991633121886009,0.4991633121886009,600,301006550.1521274,0.4960776269435883,0.4960776716470718,-3.24575740353214e-09,8.053301703450417e-10,-1.094128893862e-09,0.003951567938448703,-0.001674777279669594,-0.001674777279669594,0,0,0,0.001505032749272404,-0.0004515098234919193,-0.0004515098234919193,-4.219484624591782e-20,1.046929221448554e-20,-1.4223675620206e-20,0.002446534893378116,-0.001223267446689058,-0.001223267446689058,-5.468326199892144e-20,1.111342017218926e-19,-6.105115113897211e-21,0.002446534893378116,1.000602194625533
10,1,1,1,0.5021169335966209,0.4990951318444312,0.4990951318444312,599.9999999999999,301088795.5197235,0.4975258260965347,0.4975258260965347,-1.415372528746592e-09,-1.014332951960755e-09,-4.269491703747888e-11,0.004224929595723461,-0.001811375862297724,-0.001811375862297724,0,0,0,0.00150544397610604,-0.0004516331915382449,-0.0004516331915382449,-1.83998428737057e-20,-1.318632837548982e-20,-5.550339214872235e-22,0.002719485322116842,-0.001359742661058421,-0.001359742661058421,-7.196103295854672e-20,9.696138296314657e-20,-6.221229656547179e-21,0.002719485322116843,1.000602359216621
