increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,0.01999999955296516,9.01769055872137e-07,1.307918839899003e-08,0,0,0,3.927026855554596e-16,254.0194871860664,8.886898967830348e-07
2,0.03999999910593033,3.623486918513663e-06,5.255106216850436e-08,0,0,0,8.67097675467097e-16,258.0087653909565,3.570935859897872e-06
3,0.05999999865889549,0.01141076534986496,0.01138508785516024,0,0,0,0.02231273613870144,261.9668351490743,2.567771844041999e-05
4,0.07999999821186066,0.09461385756731033,0.0945010632276535,0,0,0,0.1088940352201462,265.8945246810064,0.0001127966825151816
5,0.1000000014901161,0.2584876120090485,0.2582234740257263,0,0,0,0.2793954312801361,269.7936282042673,0.0002641456376295537
6,0.119999997317791,0.09640033543109894,0.09626687318086624,0,0,0,0.1082933843135834,19.39748850416868,0.0001334591215709224
7,0.1400000005960464,0.01267951913177967,0.01262977253645658,0,0,0,0.01991723105311394,19.2486202744507,4.974604598828591e-05
8,0.1599999964237213,2.352715637243818e-05,3.409015221222944e-07,0,0,0,-0.003589714644476771,19.10224864941191,2.318625411135145e-05
9,0.1800000071525574,2.371343362028711e-05,3.435194457779289e-07,0,0,0,-0.003589714644476771,18.95839477428809,2.336991383344866e-05
10,0.2000000029802322,2.389618020970374e-05,3.460843629454757e-07,0,0,0,-0.003589714644476771,18.81664446091636,2.35500956478063e-05
11,0.2199999988079071,2.407549254712649e-05,3.485978083972441e-07,0,0,0,-0.003589714644476771,18.67694524351142,2.372689596086275e-05
12,0.239999994635582,2.425146703899372e-05,3.510612032187055e-07,0,0,0,-0.003589714644476771,18.5392458593475,2.390040572208818e-05
13,0.2599999904632568,0.01293249800801277,0.01288083847612143,0,0,0,0.02014993317425251,18.40384065275569,5.165918992133811e-05
14,0.2800000011920929,0.0973258763551712,0.09718834608793259,0,0,0,0.109068788588047,18.27058145487526,0.0001375296269543469
15,0.300000011920929,0.2603793144226074,0.2601081728935242,0,0,0,0.2808679640293121,18.13915748317518,0.0002711363777052611
