step,element,local_node,temperature_k,reaction_heat_flux_w
BODY,1,1,300,-12.18681885186874
BODY,1,2,300,-12.58419452504061
BODY,1,3,300,-10.81871894928264
BODY,1,4,300,-12.62260057595569
BODY,1,5,300,-14.22364216182847
BODY,1,6,300,-15.00753831293319
BODY,1,7,300,-13.06054225924237
BODY,1,8,300,-14.47261103051497
BODY,2,1,300,3.360619304667006e-14
BODY,2,2,300,4.587556123112967e-14
BODY,2,3,300,4.091034648924112e-14
BODY,2,4,300,3.241415117022167e-14
BODY,2,5,300,2.400866113569329e-15
BODY,2,6,300,-3.171116705077616e-14
BODY,2,7,300,-8.273998346127156e-14
BODY,2,8,300,-4.07559675387841e-14
BODY,3,1,300,5.568079365024407e-15
BODY,3,2,300,-1.044459282294387e-15
BODY,3,3,300,2.786521631171606e-14
BODY,3,4,300,4.275089733647954e-14
BODY,3,5,300,1.904456448250695e-14
BODY,3,6,300,5.935347792738545e-15
BODY,3,7,300,-6.333535794571106e-14
BODY,3,8,300,-3.678428806046005e-14
SURFACE,1,1,300,-5.896910188901013e-15
SURFACE,1,2,300,-2.970866886955364e-14
SURFACE,1,3,300,-8.638122603953725e-15
SURFACE,1,4,300,1.621848006564409e-14
SURFACE,1,5,300,-7.763394245276775e-15
SURFACE,1,6,300,1.51377886229938e-14
SURFACE,1,7,300,-3.92680779902551e-15
SURFACE,1,8,300,2.457763501807279e-14
SURFACE,2,1,300,3.360619304667006e-14
SURFACE,2,2,300,4.587556123112967e-14
SURFACE,2,3,300,4.091034648924112e-14
SURFACE,2,4,300,3.241415117022167e-14
SURFACE,2,5,300,-14.33150243498105
SURFACE,2,6,300,-14.77842291212661
SURFACE,2,7,300,-14.81203841204353
SURFACE,2,8,300,-14.35544436154428
SURFACE,3,1,300,5.568079365024407e-15
SURFACE,3,2,300,-1.044459282294387e-15
SURFACE,3,3,300,2.786521631171606e-14
SURFACE,3,4,300,4.275089733647954e-14
SURFACE,3,5,300,1.904456448250695e-14
SURFACE,3,6,300,5.935347792738545e-15
SURFACE,3,7,300,-6.333535794571106e-14
SURFACE,3,8,300,-3.678428806046005e-14
FILM_BASE,1,1,300,-124.2795966534068
FILM_BASE,1,2,300,-115.0874291671528
FILM_BASE,1,3,300,-129.8345731344846
FILM_BASE,1,4,300,-136.1802920379803
FILM_BASE,1,5,360,49.05622146106322
FILM_BASE,1,6,410,144.4049844552303
FILM_BASE,1,7,445,226.4525797737879
FILM_BASE,1,8,385,85.46810530294323
FILM_BASE,2,1,300,-124.2795966534068
FILM_BASE,2,2,300,-115.0874291671528
FILM_BASE,2,3,300,-129.8345731344845
FILM_BASE,2,4,300,-136.1802920379804
FILM_BASE,2,5,360,49.05622146106325
FILM_BASE,2,6,410,144.4049844552303
FILM_BASE,2,7,445,226.4525797737878
FILM_BASE,2,8,385,85.46810530294317
FILM_BASE,3,1,300,-124.2795966534069
FILM_BASE,3,2,300,-115.0874291671528
FILM_BASE,3,3,300,-129.8345731344845
FILM_BASE,3,4,300,-136.1802920379804
FILM_BASE,3,5,360,49.0562214610632
FILM_BASE,3,6,410,144.4049844552304
FILM_BASE,3,7,445,226.4525797737879
FILM_BASE,3,8,385,85.46810530294307
FILM_ACTIVE,1,1,300,-124.2795966534068
FILM_ACTIVE,1,2,300,-115.0874291671528
FILM_ACTIVE,1,3,300,-129.8345731344846
FILM_ACTIVE,1,4,300,-136.1802920379803
FILM_ACTIVE,1,5,360,49.05622146106322
FILM_ACTIVE,1,6,410,144.4049844552303
FILM_ACTIVE,1,7,445,226.4525797737879
FILM_ACTIVE,1,8,385,85.46810530294323
FILM_ACTIVE,2,1,300,-124.2795966534068
FILM_ACTIVE,2,2,300,-115.0874291671528
FILM_ACTIVE,2,3,300,-129.8345731344845
FILM_ACTIVE,2,4,300,-136.1802920379804
FILM_ACTIVE,2,5,360,49.05622146106325
FILM_ACTIVE,2,6,410,144.4049844552303
FILM_ACTIVE,2,7,445,226.4525797737878
FILM_ACTIVE,2,8,385,85.46810530294317
FILM_ACTIVE,3,1,300,-124.2795966534069
FILM_ACTIVE,3,2,300,-115.0874291671528
FILM_ACTIVE,3,3,300,-129.8345731344845
FILM_ACTIVE,3,4,300,-136.1802920379804
FILM_ACTIVE,3,5,360,443.172538423042
FILM_ACTIVE,3,6,410,735.541900940293
FILM_ACTIVE,3,7,445,948.5394523609053
FILM_ACTIVE,3,8,385,569.9643525050609
