stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,2.5e-29,1.138555002263914e-45,0,-0,-25000000,6.069751546997284e-10,2.704557847475485e-09
1,0.1,2,600,0.0005,-8.867591844555483e-46,-1.265821366699664e-45,0,25000000,8.651434995082166e-10,1.932509990473625e-09
1,0.1,3,600,0.0005,-0.0001499999999999973,-3.503246160812043e-46,0,25000000,0,1.020732450986429e-09
1,0.1,4,600,2.5e-29,-0.0001499999999999991,-1.401298464324817e-45,-0,-25000000,0,1.792780307988289e-09
1,0.1,5,600,2.5e-29,1.466642215957151e-45,-0.0001500000000000019,-0,-25000000,9.975016497227405e-10,0
1,0.1,6,600,0.0005,5.309607462480752e-46,-0.0001500000000000017,0,25000000,1.255669994531229e-09,0
1,0.1,7,600,0.0005,-0.0001500000000000027,-0.0001499999999999984,0,25000000,0,0
1,0.1,8,600,2.499999999999999e-29,-0.0001500000000000009,-0.0001499999999999981,-0,-25000000,0,0
2,0.2,1,600,-1.64580238592266e-29,-1.652346331791139e-29,-1.652346331791138e-29,-0,-50495049.50495062,-2.915203527850502e-09,-1.02886511216511e-08
2,0.2,2,600,0.002,-1.652346331791139e-29,-1.652346331791138e-29,0,50495049.50495062,-2.783085560378394e-09,-8.728376899624367e-09
2,0.2,3,600,0.002,-0.0007980198019801987,-1.652346331791139e-29,0,50495049.50495062,0,-1.206309066912038e-08
2,0.2,4,600,-1.645802385922659e-29,-0.0007980198019801924,-1.652346331791139e-29,-0,-50495049.50495062,0,-1.362336489114712e-08
2,0.2,5,600,-1.64580238592266e-29,-1.652346331791139e-29,-0.0007980198019802003,-0,-50495049.50495062,-4.667495036545434e-09,0
2,0.2,6,600,0.002,-1.652346331791139e-29,-0.0007980198019801989,0,50495049.50495062,-4.535377069073326e-09,0
2,0.2,7,600,0.002,-0.000798019801980197,-0.0007980198019801959,0,50495049.50495062,0,0
2,0.2,8,600,-1.645802385922661e-29,-0.0007980198019802031,-0.0007980198019801948,-0,-50495049.50495062,0,0
3,0.3,1,600,-3.291604771845331e-29,-3.30469266358229e-29,-3.30469266358229e-29,-0,-51485148.51485156,1.321106446466119e-08,1.263815228308248e-08
3,0.3,2,600,0.004,-3.30469266358229e-29,-3.30469266358229e-29,0,51485148.51485156,1.450520237713354e-08,1.311237261982892e-08
3,0.3,3,600,0.004,-0.001794059405940604,-3.30469266358229e-29,0,51485148.51485156,0,1.716417010461283e-08
3,0.3,4,600,-3.29160477184533e-29,-0.00179405940594059,-3.30469266358229e-29,-0,-51485148.51485156,0,1.66899497678664e-08
3,0.3,5,600,-3.291604771845331e-29,-3.30469266358229e-29,-0.001794059405940597,-0,-51485148.51485156,1.529712001056177e-08,0
3,0.3,6,600,0.004,-3.30469266358229e-29,-0.001794059405940586,0,51485148.51485156,1.659125792303412e-08,0
3,0.3,7,600,0.004,-0.001794059405940585,-0.001794059405940602,0,51485148.51485156,0,0
3,0.3,8,600,-3.291604771845328e-29,-0.001794059405940598,-0.001794059405940591,-0,-51485148.51485156,0,0
4,0.4,1,600,-9.999999999999997e-29,5.605193857299268e-45,1.121038771459854e-44,-0,48514851.4851484,-2.053027040093455e-10,-3.824335923154917e-09
4,0.4,2,600,0.002,1.68155815718978e-44,2.802596928649634e-44,0,-48514851.4851484,1.108492627851836e-09,-6.477621853193588e-09
4,0.4,3,600,0.002,-0.0011940594059406,1.68155815718978e-44,0,-48514851.4851484,0,-3.626244673768911e-09
4,0.4,4,600,-9.999999999999997e-29,-0.001194059405940598,1.68155815718978e-44,-0,48514851.4851484,0,-9.729587437302403e-10
4,0.4,5,600,-9.999999999999999e-29,1.68155815718978e-44,-0.001194059405940589,-0,48514851.4851484,-1.108492627851836e-09,0
4,0.4,6,600,0.002,1.68155815718978e-44,-0.001194059405940589,0,-48514851.4851484,2.053027040093457e-10,0
4,0.4,7,600,0.002,-0.001194059405940588,-0.001194059405940599,0,-48514851.4851484,0,0
4,0.4,8,600,-9.999999999999995e-29,-0.00119405940594059,-0.001194059405940599,-0,48514851.4851484,0,0
5,0.5,1,600,3.19383433307764e-29,3.206533475555082e-29,3.206533475555082e-29,-0,52445838.64327036,2.8364231279808e-08,2.013084474806277e-08
5,0.5,2,600,0,3.206533475555083e-29,3.206533475555082e-29,0,-52445838.64327036,2.942283230073652e-08,2.446525312546259e-08
5,0.5,3,600,0,-0.0002097833545730754,3.206533475555083e-29,0,-52445838.64327036,0,2.45726388334802e-08
5,0.5,4,600,3.193834333077635e-29,-0.0002097833545730832,3.206533475555083e-29,-0,52445838.64327036,0,2.023823045608038e-08
5,0.5,5,600,3.193834333077638e-29,3.206533475555083e-29,-0.0002097833545730819,-0,52445838.64327036,3.018181247465411e-08,0
5,0.5,6,600,0,3.206533475555081e-29,-0.000209783354573086,0,-52445838.64327036,3.124041349558263e-08,0
5,0.5,7,600,0,-0.0002097833545730875,-0.000209783354573076,0,-52445838.64327036,0,0
5,0.5,8,600,3.193834333077637e-29,-0.0002097833545730802,-0.0002097833545730821,-0,52445838.64327036,0,0
6,0.6000000000000001,1,600,3.29160477184533e-29,3.304692663582287e-29,3.304692663582287e-29,-0,53435937.65317136,-5.790227133482581e-09,2.836561576054372e-09
6,0.6000000000000001,2,600,-0.002,3.304692663582288e-29,3.304692663582286e-29,0,-53435937.65317136,-4.834861293036354e-09,1.518140868829683e-09
6,0.6000000000000001,3,600,-0.002,0.0007862562493873204,3.304692663582288e-29,0,-53435937.65317136,0,-2.836561576054372e-09
6,0.6000000000000001,4,600,3.29160477184533e-29,0.0007862562493873104,3.304692663582288e-29,-0,53435937.65317136,0,-1.518140868829683e-09
6,0.6000000000000001,5,600,3.291604771845329e-29,3.304692663582288e-29,0.0007862562493873187,-0,53435937.65317136,-1.00662999008113e-08,0
6,0.6000000000000001,6,600,-0.002,3.304692663582288e-29,0.0007862562493873102,0,-53435937.65317136,-9.110934060365075e-09,0
6,0.6000000000000001,7,600,-0.002,0.0007862562493873104,0.0007862562493873193,0,-53435937.65317136,0,0
6,0.6000000000000001,8,600,3.291604771845328e-29,0.0007862562493873198,0.0007862562493873098,-0,53435937.65317136,0,0
7,0.7000000000000001,1,600,3.291604771845332e-29,3.304692663582289e-29,3.304692663582291e-29,-0,54426036.66307236,-1.081374410189679e-08,-1.681494613476999e-08
7,0.7000000000000001,2,600,-0.004,3.30469266358229e-29,3.30469266358229e-29,0,-54426036.66307236,-1.315794413506648e-08,-1.342745888723111e-08
7,0.7000000000000001,3,600,-0.004,0.001782295853347702,3.30469266358229e-29,0,-54426036.66307236,0,-1.298737625292532e-08
7,0.7000000000000001,4,600,3.291604771845332e-29,0.001782295853347704,3.30469266358229e-29,-0,54426036.66307236,0,-1.637486350046419e-08
7,0.7000000000000001,5,600,3.291604771845331e-29,3.304692663582289e-29,0.001782295853347714,-0,54426036.66307236,-1.664437825262883e-08,0
7,0.7000000000000001,6,600,-0.004,3.304692663582289e-29,0.001782295853347726,0,-54426036.66307236,-1.898857828579852e-08,0
7,0.7000000000000001,7,600,-0.004,0.001782295853347721,0.001782295853347698,0,-54426036.66307236,0,0
7,0.7000000000000001,8,600,3.291604771845332e-29,0.001782295853347719,0.001782295853347707,-0,54426036.66307236,0,0
8,0.8,1,600,-1.354427117912039e-29,-1.359812514007112e-29,-1.359812514007112e-29,-0,-54833441.87766503,-1.662039739030306e-08,-1.307296268037212e-08
8,0.8,2,600,-0.001,-1.359812514007112e-29,-1.359812514007112e-29,0,54833441.87766503,-1.346169686848126e-08,-1.136703356526104e-08
8,0.8,3,600,-0.001,0.0007193337675106604,-1.359812514007112e-29,0,54833441.87766503,0,-1.300406940886128e-08
8,0.8,4,600,-1.354427117912032e-29,0.0007193337675106565,-1.359812514007112e-29,-0,-54833441.87766503,0,-1.470999852397236e-08
8,0.8,5,600,-1.354427117912036e-29,-1.35981251400711e-29,0.0007193337675106628,-0,-54833441.87766503,-2.006591581767597e-08,0
8,0.8,6,600,-0.001,-1.359812514007111e-29,0.0007193337675106635,0,54833441.87766503,-1.690721529585417e-08,0
8,0.8,7,600,-0.001,0.0007193337675106615,0.0007193337675106589,0,54833441.87766503,0,0
8,0.8,8,600,-1.354427117912039e-29,0.0007193337675106648,0.0007193337675106568,-0,-54833441.87766503,0,0
9,0.9,1,600,-6.583209543690647e-29,-6.609385327164571e-29,-6.609385327164572e-29,-0,-56813639.89746698,-2.023993803385348e-08,3.386812909871368e-08
9,0.9,2,600,0.003,-6.609385327164573e-29,-6.609385327164571e-29,0,56813639.89746699,-1.570269119731537e-08,2.138503399758724e-08
9,0.9,3,600,0.003,-0.001272745440410133,-6.609385327164571e-29,0,56813639.89746699,0,2.573651567667695e-08
9,0.9,4,600,-6.583209543690649e-29,-0.001272745440410123,-6.609385327164573e-29,-0,-56813639.89746698,0,3.821961077780338e-08
9,0.9,5,600,-6.583209543690648e-29,-6.609385327164571e-29,-0.001272745440410126,-0,-56813639.89746699,-1.409963119037994e-08,0
9,0.9,6,600,0.003,-6.609385327164573e-29,-0.001272745440410143,0,56813639.89746698,-9.562384353841828e-09,0
9,0.9,7,600,0.003,-0.001272745440410127,-0.001272745440410123,0,56813639.89746698,0,0
9,0.9,8,600,-6.583209543690647e-29,-0.001272745440410139,-0.001272745440410136,-0,-56813639.89746699,0,0
10,1,1,600,1.197246193919905e-29,1.202006616162129e-29,1.202006616162128e-29,-0,57173765.8400914,9.094496827213731e-09,-2.261088789369913e-09
10,1,2,600,0,1.202006616162129e-29,1.202006616162128e-29,0,-57173765.8400914,8.031477763605546e-09,-3.377484217747795e-09
10,1,3,600,0,-0.0002286950633603661,1.202006616162128e-29,0,-57173765.8400914,0,2.261088789369913e-09
10,1,4,600,1.197246193919907e-29,-0.0002286950633603646,1.202006616162128e-29,-0,57173765.8400914,0,3.377484217747795e-09
10,1,5,600,1.197246193919899e-29,1.202006616162128e-29,-0.0002286950633603611,-0,57173765.8400914,1.432026402716594e-08,0
10,1,6,600,0,1.202006616162128e-29,-0.0002286950633603683,0,-57173765.8400914,1.325724496355775e-08,0
10,1,7,600,0,-0.000228695063360362,-0.0002286950633603637,0,-57173765.8400914,0,0
10,1,8,600,1.197246193919905e-29,-0.0002286950633603659,-0.0002286950633603674,-0,57173765.8400914,0,0
