source	kind	increment	time_s	sample_count	minimum_K	minimum_entity	maximum_K	maximum_entity	below_300_count	above_700_count
Abaqus_initial_density	node	1	100000.0	30	297.0241020070945	7	340.0000000000001	5	5	0
Abaqus_initial_density	node	2	200000.0	30	298.1787366800667	7	380.0000000000001	5	2	0
Abaqus_initial_density	node	3	300000.0	30	300.0	1	420.0	5	0	0
Abaqus_initial_density	node	4	400000.0	30	300.0	1	460.0	5	0	0
Abaqus_initial_density	node	5	500000.0	30	300.0	1	500.0	5	0	0
Abaqus_initial_density	node	6	600000.0	30	300.0	1	540.0	5	0	0
Abaqus_initial_density	node	7	700000.0	30	300.0	1	580.0	5	0	0
Abaqus_initial_density	node	8	800000.0	30	300.0	1	620.0	5	0	0
Abaqus_initial_density	node	9	900000.0	30	300.0	1	660.0	5	0	0
Abaqus_initial_density	node	10	1000000.0	30	300.0	1	700.0	5	0	0
Abaqus_initial_density	material_point	1	100000.0	8	299.4676721535283	1	325.8871368346979	8	2	0
Abaqus_initial_density	material_point	2	200000.0	8	300.308421461134	1	354.6135335600322	8	0	0
Abaqus_initial_density	material_point	3	300000.0	8	301.8784040225609	1	384.7523924421091	8	0	0
Abaqus_initial_density	material_point	4	400000.0	8	303.9113772685536	1	415.6975342527932	8	0	0
Abaqus_initial_density	material_point	5	500000.0	8	306.2692172746791	1	447.1830951695695	8	0	0
Abaqus_initial_density	material_point	6	600000.0	8	308.8780035601168	1	479.078570345888	8	0	0
Abaqus_initial_density	material_point	7	700000.0	8	311.7013905453725	1	511.3328408747572	4	0	0
Abaqus_initial_density	material_point	8	800000.0	8	314.7149771131515	1	543.9384163969139	4	0	0
Abaqus_initial_density	material_point	9	900000.0	8	317.9080717009932	1	576.7993634576331	4	0	0
Abaqus_initial_density	material_point	10	1000000.0	8	321.274667464121	1	609.8926424526303	4	0	0
Fuelsim_initial_mass	node	1	100000.0	30	297.0202582610624	7	340.0	5	5	0
Fuelsim_initial_mass	node	2	200000.0	30	298.1810116932344	7	380.0	5	2	0
Fuelsim_initial_mass	node	3	300000.0	30	300.0	1	420.0	5	0	0
Fuelsim_initial_mass	node	4	400000.0	30	300.0	1	460.0	5	0	0
Fuelsim_initial_mass	node	5	500000.0	30	300.0	1	500.0	5	0	0
Fuelsim_initial_mass	node	6	600000.0	30	300.0	1	540.0	5	0	0
Fuelsim_initial_mass	node	7	700000.0	30	300.0	1	580.0	5	0	0
Fuelsim_initial_mass	node	8	800000.0	30	300.0	1	620.0	5	0	0
Fuelsim_initial_mass	node	9	900000.0	30	300.0	1	660.0	5	0	0
Fuelsim_initial_mass	node	10	1000000.0	30	300.0	1	700.0	5	0	0
Fuelsim_initial_mass	material_point	1	100000.0	8	299.4669519582986	1	325.88813863724516	8	2	0
Fuelsim_initial_mass	material_point	2	200000.0	8	300.3098805351504	1	354.6201273970092	8	0	0
Fuelsim_initial_mass	material_point	3	300000.0	8	301.8807037373163	1	384.76156698288014	8	0	0
Fuelsim_initial_mass	material_point	4	400000.0	8	303.91497002319886	1	415.71081166184695	8	0	0
Fuelsim_initial_mass	material_point	5	500000.0	8	306.27455252770926	1	447.20149598041337	8	0	0
Fuelsim_initial_mass	material_point	6	600000.0	8	308.88551186391953	1	479.1028472182023	8	0	0
Fuelsim_initial_mass	material_point	7	700000.0	8	311.70879075272063	1	511.3576926681256	4	0	0
Fuelsim_initial_mass	material_point	8	800000.0	8	314.72382295861445	1	543.968613285242	4	0	0
Fuelsim_initial_mass	material_point	9	900000.0	8	317.919541951156	1	576.8368668071935	4	0	0
Fuelsim_initial_mass	material_point	10	1000000.0	8	321.2896186592355	1	609.9384894225601	4	0	0
