case	increment	time_s	field	relative_l2_percent	relative_peak_percent	max_pointwise_relative_percent	max_absolute_difference	max_relative_node_or_element	zero_reference_count	maximum_zero_reference_error
b544_old_density	1	100000.0	temperature	0.0004122140222209768	3.343730521224e-14	0.0017204641626933014	0.005110213785258111	7	0	0.0
b544_old_density	1	100000.0	displacement_vector	0.08491453300574163	0.077438606164997	0.6480041529139283	5.8858474470971475e-05	2	6	0.0
b544_old_density	1	100000.0	stress_tensor	0.050053510803006206	0.051133870161565294	0.07107906996449906	143.57481052699652	4	0	0.0
b544_old_density	2	200000.0	temperature	0.00099194428893703	2.9917588874109474e-14	0.002278523556579028	0.007638827619246058	4	0	0.0
b544_old_density	2	200000.0	displacement_vector	0.08720382655196887	0.08498151078364574	0.6988232826471524	6.464418096743568e-05	2	6	0.0
b544_old_density	2	200000.0	stress_tensor	0.07341018334932273	0.07173427628623481	0.11372442643207471	201.70357409985078	8	0	0.0
b544_old_density	3	300000.0	temperature	0.0005618252600917957	0.0	0.0013255555075780275	0.004255854537859705	3	0	0.0
b544_old_density	3	300000.0	displacement_vector	0.08391765869167087	0.07657230516764595	0.6401616641857817	5.8529364747265447e-05	2	6	0.0
b544_old_density	3	300000.0	stress_tensor	0.05033563625589997	0.05166840265356364	0.07190651088604601	145.33823194591864	8	0	0.0
b544_old_density	4	400000.0	temperature	0.0003838248245252116	0.0	0.001209794762543099	0.0040300493143377025	3	0	0.0
b544_old_density	4	400000.0	displacement_vector	0.0831550449038813	0.07644213203210003	0.6416763270863948	5.867496147890532e-05	2	6	0.0
b544_old_density	4	400000.0	stress_tensor	0.05031773565849833	0.05163235227536089	0.0724117587124601	145.36706135962223	8	0	0.0
b544_old_density	5	500000.0	temperature	0.00031435120424945116	0.0	0.0011681481324274517	0.0040464519309466596	3	0	0.0
b544_old_density	5	500000.0	displacement_vector	0.08231634383978342	0.07630679384267408	0.6432812632153715	5.8826762103262796e-05	2	6	0.0
b544_old_density	5	500000.0	stress_tensor	0.050297735717045405	0.051597929858349774	0.07296877046115416	145.39988454226759	8	0	0.0
b544_old_density	6	600000.0	temperature	0.00029758285734011764	0.0	0.0011757453271754007	0.004239775471205576	3	0	0.0
b544_old_density	6	600000.0	displacement_vector	0.08142350968491611	0.07616555920828973	0.6449546630901406	5.898456096161114e-05	2	6	0.0
b544_old_density	6	600000.0	stress_tensor	0.05027645904456516	0.05156477965550725	0.07357190913145505	145.4358039305162	8	0	0.0
b544_old_density	7	700000.0	temperature	0.0016976260166195328	0.0	0.0035879795366618133	0.015223036912686894	8	0	0.0
b544_old_density	7	700000.0	displacement_vector	0.0804513155862911	0.0759798402821736	0.6468087935919375	5.911887699617713e-05	2	6	0.0
b544_old_density	7	700000.0	stress_tensor	0.050247861860643006	0.051521685135807335	0.07414362511488644	145.44312440406935	8	0	0.0
b544_old_density	8	800000.0	temperature	0.002210704751262377	0.0	0.00467322273215122	0.018720689378938005	8	0	0.0
b544_old_density	8	800000.0	displacement_vector	0.07948130267478391	0.07580502665502377	0.6486852373167716	5.9273265339555584e-05	2	6	0.0
b544_old_density	8	800000.0	stress_tensor	0.050224756670189066	0.05148997310556088	0.07482440323685159	145.48221449152675	8	0	0.0
b544_old_density	9	900000.0	temperature	0.0022867951071866297	0.0	0.005004199404681129	0.019155489384729663	8	0	0.0
b544_old_density	9	900000.0	displacement_vector	0.07848845363862557	0.07563213966365886	0.6505692387185527	5.94416261633201e-05	2	6	0.0
b544_old_density	9	900000.0	stress_tensor	0.050203247980788776	0.051461521654380865	0.07553180635096694	145.53008646209344	8	0	0.0
b544_old_density	10	1000000.0	temperature	0.002192417702894318	0.0	0.005001844123607912	0.01951917096738498	8	0	0.0
b544_old_density	10	1000000.0	displacement_vector	0.07747876115058423	0.07545597126925811	0.6524799181262739	5.9620848167725305e-05	2	6	0.0
b544_old_density	10	1000000.0	stress_tensor	0.050181999390099145	0.05143538807833941	0.07626150386759907	145.58408319303248	8	0	0.0
b544_initial_density_before	1	100000.0	temperature	0.0004527991341264386	3.343730521224e-14	0.001872301813810925	0.0055611876493344425	7	0	0.0
b544_initial_density_before	1	100000.0	displacement_vector	0.08491556001688629	0.07743909522554993	0.6480315164157889	5.885877866203011e-05	2	6	0.0
b544_initial_density_before	1	100000.0	stress_tensor	0.05005302128068478	0.051132182381357055	0.0710793499707704	143.5700695741825	4	0	0.0
b544_initial_density_before	2	200000.0	temperature	0.001029832535147534	2.9917588874109474e-14	0.002373234763568486	0.007954780171644416	4	0	0.0
b544_initial_density_before	2	200000.0	displacement_vector	0.087195537500473	0.08498038914122558	0.698828577151812	6.46433273472479e-05	2	6	0.0
b544_initial_density_before	2	200000.0	stress_tensor	0.07338626716131144	0.07173592761195001	0.11263867692882525	201.70820222067837	8	0	0.0
b544_initial_density_before	3	300000.0	temperature	0.0006068883532741779	0.0	0.001388143103964785	0.0044559022106795965	3	0	0.0
b544_initial_density_before	3	300000.0	displacement_vector	0.08392569971724292	0.07657276640488905	0.640159140802163	5.852966347428424e-05	2	6	0.0
b544_initial_density_before	3	300000.0	stress_tensor	0.050336517253274524	0.05166794244586484	0.07191110721531167	145.3369261363226	8	0	0.0
b544_initial_density_before	4	400000.0	temperature	0.000419548596430949	0.0	0.0012710469327531203	0.004232546360924516	3	0	0.0
b544_initial_density_before	4	400000.0	displacement_vector	0.08316835330040583	0.07644270722047881	0.6416710362035416	5.867523023894361e-05	2	6	0.0
b544_initial_density_before	4	400000.0	stress_tensor	0.05031881701864587	0.051631419196507225	0.07241990200091081	145.36442210391886	8	0	0.0
b544_initial_density_before	5	500000.0	temperature	0.0003378426709878981	0.0	0.0012200284075917956	0.004223802003878063	3	0	0.0
b544_initial_density_before	5	500000.0	displacement_vector	0.08233577231435463	0.07630737932927899	0.6432727973359466	5.8826834553471166e-05	2	6	0.0
b544_initial_density_before	5	500000.0	stress_tensor	0.050299199894935635	0.05159666517735406	0.07298201082304798	145.39631292790796	8	0	0.0
b544_initial_density_before	6	600000.0	temperature	0.0003116062766363037	0.0	0.0012178360254751644	0.0043881578542368516	3	0	0.0
b544_initial_density_before	6	600000.0	displacement_vector	0.08144969906728926	0.07616614649530415	0.6449422719360868	5.8984328049085255e-05	2	6	0.0
b544_initial_density_before	6	600000.0	stress_tensor	0.05027846724816039	0.05156330243766671	0.07359174712184963	145.43163996284923	8	0	0.0
b544_initial_density_before	7	700000.0	temperature	0.001914531687975602	0.0	0.003880072849549717	0.016762167559136287	8	0	0.0
b544_initial_density_before	7	700000.0	displacement_vector	0.08048309396164399	0.07597619361054579	0.6468088026940213	5.911492993084506e-05	2	6	0.0
b544_initial_density_before	7	700000.0	stress_tensor	0.05024850555954384	0.05151817699259553	0.07416938921718037	145.43324084981475	8	0	0.0
b544_initial_density_before	8	800000.0	temperature	0.0025148214284169065	0.0	0.005116554695630881	0.020821536776793437	8	0	0.0
b544_initial_density_before	8	800000.0	displacement_vector	0.07951978947161682	0.07579878195972062	0.6486910768457336	5.926671129950142e-05	2	6	0.0
b544_initial_density_before	8	800000.0	stress_tensor	0.05022588506277843	0.05148605938454694	0.07485901886293538	145.47119925415262	8	0	0.0
b544_initial_density_before	9	900000.0	temperature	0.002624101582971117	0.0	0.005521973145298232	0.02149358317160477	8	0	0.0
b544_initial_density_before	9	900000.0	displacement_vector	0.07853405655859115	0.075624423756498	0.6505756556863147	5.9433168792023366e-05	2	6	0.0
b544_initial_density_before	9	900000.0	stress_tensor	0.05020526302410146	0.05145753636471378	0.07557686299314799	145.51888902342202	8	0	0.0
b544_initial_density_before	10	1000000.0	temperature	0.0025367032066713957	0.0	0.005552244698626966	0.02163550923182811	8	0	0.0
b544_initial_density_before	10	1000000.0	displacement_vector	0.07753181713419266	0.07544753768290831	0.6524832789545404	5.961088499449466e-05	2	6	0.0
b544_initial_density_before	10	1000000.0	stress_tensor	0.05018513152459449	0.05143151354819281	0.07631871800166906	145.5732272685177	8	0	0.0
b544_initial_density_current	1	100000.0	temperature	0.00047368481355469436	3.343730521224e-14	0.0012940855661596944	0.003843746032089257	7	0	0.0
b544_initial_density_current	1	100000.0	displacement_vector	0.0849181268647827	0.0774490222567857	0.6479890039138042	5.886632385522452e-05	2	6	0.0
b544_initial_density_current	1	100000.0	stress_tensor	0.05006037506991083	0.05114150726170367	0.07108247364217082	143.5962521789098	4	0	0.0
b544_initial_density_current	2	200000.0	temperature	0.0022761855277634415	2.9917588874109474e-14	0.00573744992773157	0.01923120022576086	4	0	0.0
b544_initial_density_current	2	200000.0	displacement_vector	0.0871616322747843	0.08497374711646355	0.6987656962539396	6.463827485707601e-05	2	6	0.0
