increment	time_s	node	native_initial_density_T_K	before_initial_density_T_K	current_initial_density_T_K	native_initial_density_heat_W	before_initial_density_heat_W	current_initial_density_heat_W	native_temperature_density_heat_W	before_temperature_density_heat_W	current_minus_before_heat_W	before_absolute_error_W	before_relative_error_percent	before_qualified	current_absolute_error_W	current_relative_error_percent	current_qualified
1	100000.0	16	300.0	300.0	300.0	22.62704690482537	22.63116198926633	22.627805595260604	22.62341865078774	22.627179773192253	-0.0033563940057277364	0.004115084440961425	0.018186573167371017	True	0.0007586904352336887	0.0033530245392822027	True
2	200000.0	16	300.0	300.0	300.0	17.77701579711529	17.776681788800644	17.771408940893703	17.7584650017481	17.75815176157188	-0.005272847906940825	0.0003340083146454731	0.0018788773012153887	True	0.005606856221586298	0.031539918091855065	True
3	300000.0	16	300.0	300.0	300.0	9.598855201975917	9.59830440557205	9.588152516542456	9.54693478539133	9.54655155445105	-0.01015188902959352	0.0005507964038677926	0.005738146813115918	True	0.010702685433461312	0.11149960290325217	True
4	400000.0	16	300.0	300.0	300.0	-0.9996371138708451	-0.9994232730649024	-1.0173179461284203	-1.105803854964332	-1.1053719354860299	-0.017894673063517885	0.00021384080594266663	0.021391843397512676	True	0.01768083225757522	1.7687250715522769	False
5	500000.0	16	300.0	300.0	300.0	-13.39291465361982	-13.391775161094788	-13.419932416398858	-13.57405297081764	-13.572691322860905	-0.02815725530406965	0.0011394925250325372	0.00850817431831059	True	0.027017762779037113	0.2017317624863292	True
6	600000.0	16	300.0	300.0	300.0	-27.23745994747111	-27.23546234549757	-27.276243404709852	-27.5138915885018	-27.511684190820972	-0.040781059212282145	0.0019976019735388206	0.0073340244552586855	True	0.038783457238743324	0.14239013958548	True
7	700000.0	16	300.0	300.0	300.0	-42.37679403447058	-42.359036959586305	-42.4148057931139	-42.76740847974796	-42.75103786165989	-0.0557688335275941	0.017757074884272583	0.041902827452752645	True	0.038011758643321514	0.08969946761994688	True
8	800000.0	16	300.0	300.0	300.0	-58.71274104912549	-58.68563978774446	-58.75886356031286	-59.23932113230715	-59.21465927922711	-0.0732237725683973	0.027101261381027086	0.04615908045981231	True	0.04612251118737021	0.0785562219770647	True
9	900000.0	16	300.0	300.0	300.0	-76.22069647528588	-76.18835028947827	-76.28165468793068	-76.9060794549751	-76.87685926220318	-0.09330439845241756	0.032346185807611505	0.04243753639551112	True	0.060958212644806054	0.07997593234348285	True
10	1000000.0	16	300.0	300.0	300.0	-94.90129385669891	-94.86604511779618	-94.98224208969705	-95.76970349741393	-95.73803473071702	-0.11619697190087663	0.035248738902737387	0.0371425272198744	True	0.08094823299813925	0.08529729122594597	True
