field	count	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	zero_reference_count	maximum_zero_reference_absolute_difference	maximum_absolute_difference	maximum_pointwise_actual	maximum_pointwise_reference	fuelsim_maximum	abaqus_maximum
temperature_corner	1617	0.13529182404102064	0.22716733739227826	0.22716733869846445	0	0.0	1.4757281211399231	651.0973372815849	649.621609160445	651.0973372815849	649.621612895695
temperature_interpolated	4352	0.13834134805712994	0.22713792604831295	0.22713792604831295	0	0.0	1.4755370544507969	651.0971480825208	649.62161102807	651.0971480825208	649.62161102807
displacement_x	5969	0.30127534253377386	0.4053570979049442	105530.36071344477	0	0.0	4.622721687086477e-08	1.9593324202247358e-19	1.854895133360412e-22	1.1403183055542766e-05	1.140407238698581e-05
displacement_y	5969	0.30127534253358423	0.40535709790174196	5370.501260782862	0	0.0	4.622721687049991e-08	-2.727945602350038e-20	5.175875058883562e-22	1.1403183055542965e-05	1.140407238698589e-05
displacement_z	5969	0.00570130238238329	0.013310017992059983	100.0	0	0.0	7.98601079523599e-08	0.0	-4.11809054930081e-36	0.0006	0.0006
radial_displacement	5969	0.3012753368009192	0.40535648052205914	105530.36071344477	0	0.0	4.622721687086456e-08	-1.9593324202247358e-19	-1.854895133360412e-22	1.1403200434823607e-05	1.1404089756090358e-05
tangential_displacement	5969	46.58061589962753	18.720739424792793	1222764.8403281833	0	0.0	9.464983034200887e-12	-3.693163677037795e-13	-3.0200914731072416e-17	5.20170227359833e-11	5.055880977471406e-11
contact_pressure	416	1.015312277245679	1.0078146680984468	1.349991722598304	0	0.0	948.9056671796134	45525.3010584242	46148.299278808	93216.39342212185	94154.7783750773
recovered_contact_pressure_integral	1	0.4271960755267588	0.4271960755267588	0.4271960755267588	0	0.0	0.04760861558402851	11.09683261677612	11.14444123236015	11.09683261677612	11.14444123236015
recovered_contact_shear_integral	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
recovered_contact_heat_integral	1	205.8193737506885	205.8193737506885	205.8193737506885	0	0.0	9.840190917581223	14.621174718212531	4.780983800631308	14.621174718212531	4.780983800631308
equivalent_stress	13824	0.007755848051747987	0.021456942758258955	0.06817653297495212	0	0.0	16240.29446709156	8632859.983270587	8638749.583228821	75684486.16338804	75687830.50810227
equivalent_plastic_strain	13824	0.007896219321494296	0.021744231097369313	0.029279498088062614	0	0.0	8.120147233646631e-07	0.0027725098534398234	0.002773321868163188	0.003734224308169398	0.003734391525405114
equivalent_creep_strain	13824	0.021187590857976495	0.027110684813127485	0.05108462519809874	0	0.0	2.8710040153945098e-08	5.406613208255097e-05	5.409376568000414e-05	0.00010587064928341669	0.0001058993542650873
