id,x,y,z,gap,constraint_pressure,recovered_pressure,normal_force_x,normal_force_y,normal_force_z,tangential_force_x,tangential_force_y,tangential_force_z,slip_x,slip_y,slip_z,elastic_slip_x,elastic_slip_y,elastic_slip_z,projected,sliding,primary_face
25,0.0041200000000000004,0,0,-4.476751939203256e-06,44767.519392032562,46147.193113986505,-0.010381303092223895,-1.2439030925084915e-12,1.3936627700475372e-05,-2.560942060955689e-08,-1.2415818502934236e-12,-2.1169371323091456e-05,7.8240232766264826e-07,1.7385571655155213e-10,0.00037589660487507355,1.0431632327586601e-08,2.4535132441447669e-12,5.0117631768288788e-06,1,1,95
26,0.0038063836739465019,0.00157665574134417,0,-4.4767510565804678e-06,44767.510565804681,46147.184070631563,-0.0095910712456196909,-0.0039727511121236368,1.3936597083152794e-05,-2.3659498765032379e-08,-9.8015373484282241e-09,-2.1169365922296939e-05,7.2277552381485187e-07,2.9957049620628622e-07,0.00037589661078598751,9.6365788407786479e-09,3.9942646159171454e-09,5.0117631769443514e-06,1,1,81
27,0.0029132799384885763,0.0029132799384885759,0,-4.4767502899052051e-06,44767.502899052051,46147.175172773925,-0.0073406860263386994,-0.0073406860245821721,1.3936562534238863e-05,-1.8107700562688923e-08,-1.8109456418052893e-08,-2.1169360376156403e-05,5.5311363942124502e-07,5.5335950847362127e-07,0.00037589661575960126,7.3744706188318691e-09,7.3779404072674831e-09,5.0117631770421227e-06,1,1,82
28,0.0015766557413441702,0.0038063836739465019,0,-4.476751047070297e-06,44767.510470702968,46147.183996151769,-0.0039727511092204886,-0.0095910712386059367,1.3936597075726726e-05,-9.7992432044744172e-09,-2.3660449016779837e-08,-2.1169365906817825e-05,2.9924925272366109e-07,7.2290858721812667e-07,0.00037589661078378208,3.9897311158343446e-09,9.638456678010219e-09,5.011763176944359e-06,1,1,83
29,2.522772406243548e-19,0.0041200000000000004,0,-4.4767519392040463e-06,44767.519392040464,46147.193114001158,1.2442747028031109e-12,-0.010381303092224143,1.3936627700487652e-05,1.2415817445234931e-12,-2.560942060954842e-08,-2.1169371323091964e-05,-1.7385571640446481e-10,7.8240232766205799e-07,0.00037589660487507247,-2.4535132481331248e-12,1.0431632327578758e-08,5.0117631768288779e-06,1,1,84
48,-0.0015766557413441698,0.0038063836739465019,0,-4.476751056578191e-06,44767.510565781908,46147.184070622388,0.003972751112124891,-0.009591071245622796,1.3936597083167554e-05,9.8015373483868535e-09,-2.3659498765023141e-08,-2.1169365922303763e-05,-2.9957049620545004e-07,7.2277552381511042e-07,0.00037589661078598762,-3.9942646159804652e-09,9.6365788407512467e-09,5.0117631769443531e-06,1,1,85
49,-0.0029132799384885759,0.0029132799384885763,0,-4.4767502899043615e-06,44767.502899043611,46147.175172784526,0.0073406860245835278,-0.0073406860263401028,1.3936562534244667e-05,1.8109456418105918e-08,-1.8107700562671638e-08,-2.1169360376160378e-05,-5.5335950847532751e-07,5.5311363941909568e-07,0.00037589661575960164,-7.3779404072730054e-09,7.3744706188204226e-09,5.0117631770421227e-06,1,1,86
50,-0.0038063836739465019,0.0015766557413441705,0,-4.4767510470704994e-06,44767.510470704998,46147.183996149826,0.0095910712386064519,-0.0039727511092210628,1.3936597075728343e-05,2.3660449016781138e-08,-9.7992432045057127e-09,-2.1169365906819245e-05,-7.2290858721801867e-07,2.9924925272440356e-07,0.00037589661078378246,-9.6384566780204827e-09,3.9897311158159679e-09,5.011763176944359e-06,1,1,87
51,-0.0041200000000000004,5.0455448124870961e-19,0,-4.4767519392027588e-06,44767.519392027585,46147.193113990164,0.010381303092223361,1.2441781003895425e-12,1.393662770047942e-05,2.5609420609542918e-08,1.2415818253491719e-12,-2.1169371323090372e-05,-7.8240232766206974e-07,-1.738557167673496e-10,0.00037589660487507323,-1.0431632327578894e-08,-2.4535132557242033e-12,5.0117631768288788e-06,1,1,88
70,-0.0038063836739465019,-0.0015766557413441696,0,-4.4767510565769645e-06,44767.510565769648,46147.184070611722,0.0095910712456218246,0.0039727511121245597,1.3936597083156755e-05,2.3659498764979195e-08,9.8015373485627253e-09,-2.1169365922301679e-05,-7.2277552381541345e-07,-2.9957049620450724e-07,0.00037589661078598756,-9.6365788407538937e-09,-3.9942646159712529e-09,5.0117631769443522e-06,1,1,89
