node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,300,6.666864547016309e-30,1.919666534327862e-30,1.919666534327862e-30,-500000.65625,-6666865,-1919666.5,-1919666.5
2,300.6667175292969,0.0002257107989862561,-3.093553185036417e-30,-3.093553185036417e-30,0,0,3093553.25,3093553.25
3,400,0.0009060442098416388,-7.440049341693399e-31,-7.440049341693399e-31,74500096,0,744004.9375,744004.9375
4,300,2.863178626667915e-32,-0.000128524741739966,3.568586062768683e-30,-499900.65625,-28631.78515625,0,-3568586
5,300.6665954589844,-2.995570321218111e-05,0.0002620360755827278,-1.18745495882213e-30,0,0,0,1187455
6,400,0.0006096463184803724,0.0008444461855106056,-4.632393309895614e-31,74500696,0,0,463239.34375
7,300,2.863178626667915e-32,3.568586062768683e-30,-0.000128524741739966,-501250.65625,-28631.78515625,-3568586,0
8,300.6683959960938,-2.995570321218111e-05,-1.18745495882213e-30,0.0002620360755827278,0,0,1187455,0
9,400,0.0006096463184803724,-4.632393309895614e-31,0.0008444461855106056,74498848,0,463239.34375,0
10,300,-6.724128613257295e-30,-0.0001526715641375631,-0.0001526715641375631,-501150.65625,6724128.5,0,0
11,300.6682739257812,-0.0002927601744886488,0.0002496512024663389,0.0002496512024663389,0,0,0,0
12,400,0.000306703062960878,0.0008454154012724757,0.0008454154012724757,74499448,0,0,0
