time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ivol_m3
1,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,300,-1.333359629274827,0.0001144823991112709,-0.0005630298292387259,17288704.99028666,317114.6943697107,317114.3131402852,1432981.910096157,1432982.005338458,-462167.7248522896,8.765225331283821e-05,-1.842018603664273e-05,-1.842018841932664e-05,1.791227387620196e-05,1.791227506673072e-05,-5.77709656065362e-06,0.1250000000000001
1,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,300.3332277702738,-1.334470410415418,0.0004276100621451367,-0.00210300642110089,2072336.160514432,7925000.223638411,7925000.292092889,-6063559.44512159,-6063559.314546291,-318221.7371391907,-7.453521391749074e-06,2.913269991034738e-05,2.913270033827057e-05,-7.580914446650216e-05,-7.580914283399541e-05,-3.978540634672121e-06,0.125
1,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,300,-1.333046857544132,0.0001144823991112709,-0.0005630277817036955,7712642.27481779,5736478.913733494,4473812.809245376,12845674.76222235,1461128.159108372,-1093500.569137932,2.780186134115776e-05,1.545084033438092e-05,7.559177181330175e-06,0.0001605709345277793,1.826410198885465e-05,-1.366875711422416e-05,0.1250000000000001
1,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,300.3330923370282,-1.334156926777001,0.0004276099174841031,-0.002102998061262685,-7632884.737251501,13212309.77785429,12342911.87844375,5346928.130680048,-6155049.11957896,-752920.8004458986,-6.812287120786919e-05,6.218476843693135e-05,5.674998162780668e-05,6.68495161850752e-05,-7.69529804184772e-05,-9.413328551525969e-06,0.125
1,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,300,-1.334897855374714,0.0001144844466178796,-0.0005630298292387259,7712642.310399636,4473813.190027582,5736478.49736944,1461128.037611735,12845675.08231322,-1093500.586481637,2.78018615635443e-05,7.559179561218965e-06,1.545083773210558e-05,1.826410047014668e-05,0.0001605709385289152,-1.366875733102046e-05,0.125
1,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,300.3338938426,-1.336012140810738,0.0004276184220847066,-0.002103009920063619,-7632878.806425801,12342908.27385243,13212306.01470344,-6155046.414685704,5346926.000068923,-752920.3960102758,-6.812287068661521e-05,5.67499805993535e-05,6.218476894413059e-05,-7.695298237916313e-05,6.684952062818906e-05,-9.413327871720015e-06,0.125
1,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,300,-1.334585078049491,0.0001144844467120265,-0.0005630277818369223,-2022957.952440517,9972946.183077,9972945.767160166,13070370.70067526,13070371.11874865,-1724833.43076728,-3.304564007920664e-05,4.192876076777784e-05,4.192875816829763e-05,0.0001633796337584407,0.0001633796389843581,-2.1560417884591e-05,0.125
1,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,300.3337584051587,-1.335698650517487,0.0004276182774166037,-0.002103001560194092,-17497603.38178319,17709969.46475969,17709969.64196205,5451948.509068004,5451948.962411855,-1187619.32551354,-0.0001297893301738058,9.030060396147273e-05,9.030060506920194e-05,6.816255090913092e-05,6.816255657702622e-05,-1.484811578857387e-05,0.125
1,2,1,1.211324865405185,0.211324865405185,0.211324865405185,300.3332277702738,-238.8654662517488,0.0004276100622180795,-0.002103006421426182,12816303.28211509,-15396951.74325793,-15396951.39648024,-7163541.981245037,-7163541.465570896,-205384.8910697921,0.0004827977304392877,0.0003064308006312892,0.0003064308027990687,-8.956158406016391e-05,-8.956157761299112e-05,-2.567807410690679e-06,0.1250000000000001
1,2,2,1.788675134594815,0.2113248654051851,0.2113248654051851,360,-274.4666364263339,0.0001316547588650737,-0.0006474843036489541,-9840914.963516384,-4013381.488551823,-4013380.85364228,-8097458.983870327,-8097457.437203387,-39554.41385704315,0.0003400672609693366,0.0003777960343948803,0.0003777960385054287,-0.0001048495719973313,-0.0001048495519703861,-5.121684928293422e-07,0.125
1,2,3,1.211324865405185,0.7886751345948151,0.2113248654051851,300.3330923370282,-238.86569847544,0.0004276099175570459,-0.002102998061379337,11372941.69212705,-14394710.03372381,-14955831.75957577,9960804.850017173,-7285078.32714418,-485945.8724831547,0.000473774968680875,0.0003126960268100438,0.000309188338378727,0.0001245341191733784,-9.108107489711593e-05,-6.075497121653198e-06,0.125
1,2,4,1.788675134594815,0.7886751345948151,0.211324865405185,360,-274.4669961138244,0.0001316547588554874,-0.0006474819488181517,-11379134.04726696,-3190239.378185779,-3298303.880257668,8437002.173497193,-8205681.404716243,-93586.51368737561,0.0003301084817467039,0.000383125243109415,0.0003824256090135269,0.0001092461312362111,-0.0001062508849930268,-1.211800630838596e-06,0.125
1,2,5,1.211324865405185,0.211324865405185,0.7886751345948151,300.3338938426,-238.8643241647493,0.0004276184218876071,-0.002103009920482582,11372935.49957312,-14955828.08792236,-14394706.07147613,-7285075.304046422,9960800.889923358,-485945.717585278,0.000473774977438012,0.0003091883322764458,0.0003126960241551879,-9.108107944816973e-05,0.00012453412756332,-6.075498009787013e-06,0.1250000000000001
1,2,6,1.788675134594815,0.211324865405185,0.788675134594815,360,-274.4648674663192,0.0001316571137516597,-0.0006474843037022269,-11379132.96136545,-3298304.589457578,-3190239.754887378,-8205682.804947251,8437003.870202808,-93586.98234775427,0.0003301084887770766,0.0003824256044220059,0.0003831252406705634,-0.0001062509031238531,0.000109246153205925,-1.211806699265767e-06,0.125
1,2,7,1.211324865405185,0.7886751345948151,0.7886751345948151,300.3337584051587,-238.8645563925778,0.0004276182774273631,-0.002103001560201851,9942176.101947814,-13959887.60501702,-13959887.40031332,10063866.02157771,10063866.12663971,-766506.6126399933,0.000464830991853922,0.0003154141703680389,0.0003154141716476848,0.0001258226813583259,0.0001258226826718552,-9.583187720749501e-06,0.125
