case	field	relative_l2	relative_absolute_peak	maximum_pointwise_relative	zero_reference_count	maximum_zero_reference_absolute_difference
b90_cax4rt_small_probe	rz_bottom_axial_reaction	4.021863930553e-16	4.021863930553e-16	4.021863930553e-16	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_creep_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b90_cax4rt_small_probe	rz_displacement	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_elastic_tensor	4.367807950468e-16	4.367807950468e-16	4.367807950468e-16	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_equivalent_creep_strain	undefined	undefined	undefined	1	0.000000000000e+00
b90_cax4rt_small_probe	rz_equivalent_plastic_strain	undefined	undefined	undefined	1	0.000000000000e+00
b90_cax4rt_small_probe	rz_plastic_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b90_cax4rt_small_probe	rz_reaction_heat	1.210121574490e-15	1.213594004867e-15	1.001269152409e-14	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_stress_tensor	3.866677768971e-16	3.866677768971e-16	3.866677768971e-16	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_support_reaction	6.174772890652e-16	7.003175930101e-16	7.184001742877e-16	0	0.000000000000e+00
b90_cax4rt_small_probe	rz_temperature	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_bottom_axial_reaction	5.240033152951e-16	5.240033152951e-16	5.240033152951e-16	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_creep_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b91_cax4rt_finite_probe	rz_displacement	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_elastic_tensor	5.335537066726e-16	5.335537066726e-16	5.335537066726e-16	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_equivalent_creep_strain	undefined	undefined	undefined	1	0.000000000000e+00
b91_cax4rt_finite_probe	rz_equivalent_plastic_strain	undefined	undefined	undefined	1	0.000000000000e+00
b91_cax4rt_finite_probe	rz_plastic_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b91_cax4rt_finite_probe	rz_reaction_heat	1.413114117425e-15	1.527073004265e-15	6.103842872010e-15	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_stress_tensor	4.457505560653e-16	4.457505560653e-16	4.457505560653e-16	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_support_reaction	4.787416416353e-16	4.960450168633e-16	6.747403872239e-16	0	0.000000000000e+00
b91_cax4rt_finite_probe	rz_temperature	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_bottom_axial_reaction	1.494797171408e-15	1.494797171408e-15	1.494797171408e-15	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_creep_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_displacement	4.716669478404e-17	4.108713305774e-17	1.694065894509e-16	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_elastic_tensor	1.866392001026e-16	1.866392001026e-16	1.866392001026e-16	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_equivalent_creep_strain	undefined	undefined	undefined	1	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_equivalent_plastic_strain	undefined	undefined	undefined	1	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_plastic_tensor	undefined	undefined	undefined	1	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_reaction_heat	6.319241246004e-16	5.996575671453e-16	9.446502294576e-16	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_stress_tensor	2.514649335706e-16	2.514649335706e-16	2.514649335706e-16	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_support_reaction	1.385996918311e-15	1.431998660788e-15	1.450631925824e-15	0	0.000000000000e+00
b92_cax4rt_rectangle_probe	rz_temperature	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_bottom_axial_reaction	1.864068016991e-11	1.213628911932e-14	5.613841958351e-11	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_creep_tensor	1.094338229225e-12	8.425463996096e-13	5.576524719757e-12	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_displacement	9.318610987406e-13	1.142578642552e-12	6.584034676179e-12	5	0.000000000000e+00
b93_cax4rt_small_coupled	rz_elastic_tensor	1.220277302641e-11	1.509598739878e-11	3.675847098091e-11	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_equivalent_creep_strain	1.094222350860e-12	8.124301209357e-13	5.576209836676e-12	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_equivalent_plastic_strain	6.990091993952e-13	1.852646298362e-14	2.134734369956e-12	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_plastic_tensor	6.991251073993e-13	8.696955533349e-13	2.134913892300e-12	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_stress_tensor	3.309206278757e-11	4.093752701919e-11	9.968217772960e-11	0	0.000000000000e+00
b93_cax4rt_small_coupled	rz_temperature	7.338453819647e-17	1.894780628694e-16	1.894780628694e-16	0	0.000000000000e+00
b94_cax4rt_finite_coupled	rz_bottom_axial_reaction	3.100816605231e-10	2.233620118353e-10	8.108536227178e-10	0	0.000000000000e+00
b94_cax4rt_finite_coupled	rz_creep_tensor	3.021535935055e-11	2.857522705940e-11	9.163959829878e-11	0	0.000000000000e+00
b94_cax4rt_finite_coupled	rz_displacement	1.536612421861e-11	1.094788616904e-11	9.642729793375e-11	5	0.000000000000e+00
