diagnostic_only_common_increments 35
time,temperature_relative_l2,displacement_relative_l2,pressure_relative_l2,gap_relative_l2,normal_force_relative_l2,tangential_force_relative_l2
0.1,2.582306604532e-03,2.849864908676e-04,6.111235946202e-04,1.340420022280e-03,2.089058674269e-04,4.504242820125e-04
0.2,2.044742201761e-03,2.845345018415e-04,6.058793031069e-04,1.337121575438e-03,2.109723944228e-04,6.067513129542e-04
0.3,2.026216692811e-03,2.844860835517e-04,6.011983989429e-04,1.333708939184e-03,2.139821337394e-04,7.651857213572e-04
0.4,2.028996317894e-03,2.845560597359e-04,5.967351097807e-04,1.330343299309e-03,2.179707940791e-04,9.278851784744e-04
0.5,2.032536219051e-03,2.846774509973e-04,5.923767939995e-04,1.327013948503e-03,2.229036693544e-04,1.094058351634e-03
0.6,2.036120532716e-03,2.848262671329e-04,5.880770573074e-04,1.323706732444e-03,2.287308232651e-04,1.262870870420e-03
0.7,2.039716940992e-03,2.849917910092e-04,5.838138072970e-04,1.320412314365e-03,2.353956485840e-04,1.433718843608e-03
0.8,2.043322830331e-03,2.851685171140e-04,5.795755972982e-04,1.317124928115e-03,2.428385447633e-04,1.606187605080e-03
0.9,2.046937877822e-03,2.853533299654e-04,5.753562644560e-04,1.313841042935e-03,2.509994190336e-04,1.779991666203e-03
1,2.050562044088e-03,2.855443364510e-04,5.711525328097e-04,1.310558508094e-03,2.598195184532e-04,1.954931175377e-03
1.1,2.052396070248e-03,2.831542523972e-04,5.700463652355e-04,1.313350681965e-03,2.703121334959e-04,1.949588972059e-03
1.2,2.052456792617e-03,2.806418668018e-04,5.690751297895e-04,1.316511413296e-03,2.813434319667e-04,1.945765912066e-03
1.3,2.052445750429e-03,2.780178595501e-04,5.682449331124e-04,1.320044248839e-03,2.928603078136e-04,1.943043183326e-03
1.4,2.052431871034e-03,2.752930048069e-04,5.675637279900e-04,1.323953518218e-03,3.048158338291e-04,1.941144450638e-03
1.5,2.052417648567e-03,2.724780690336e-04,5.670412901540e-04,1.328244328595e-03,3.171688399965e-04,1.939880974028e-03
1.6,2.052403209712e-03,2.695837130436e-04,5.666892159279e-04,1.332922525579e-03,3.298833802348e-04,1.939120563568e-03
1.7,2.052388565715e-03,2.666204041585e-04,5.665208819308e-04,1.337994670439e-03,3.429282039768e-04,1.938768346307e-03
1.8,2.064841443093e-03,2.635983393131e-04,5.665514193283e-04,1.343468006079e-03,3.562762145350e-04,1.938754689139e-03
1.9,2.696427493249e-03,2.605273793229e-04,5.667976626217e-04,1.349350426424e-03,3.699039758071e-04,1.939027521352e-03
2,3.739461652589e-03,2.574169943633e-04,5.672780735778e-04,1.355650434345e-03,3.837912552952e-04,1.939547458224e-03
2.1,7.720822164557e-03,2.447557047315e-04,5.720049141818e-04,1.385321192093e-03,4.416319467659e-04,1.943576353867e-03
2.2,1.046532833161e-02,4.625612439245e-04,4.917251354770e-04,1.264374173140e-03,5.109690595754e-04,9.402690093606e-04
2.3,1.301672083972e-02,5.318171453201e-04,5.264948073491e-04,1.283236575692e-03,6.310515115862e-04,1.101162740421e-03
2.4,1.495924315188e-02,5.964319206363e-04,5.912241528979e-04,1.299553210173e-03,7.549685195302e-04,1.260170502615e-03
2.5,1.673844552660e-02,6.861549748795e-04,7.219906300549e-04,1.368257694398e-03,8.759741340931e-04,1.175115696832e-03
2.6,1.820052643513e-02,7.400921730630e-04,8.314554545865e-04,1.378231488533e-03,9.872240180314e-04,1.309757251358e-03
2.7,1.872398390282e-02,9.050346436357e-04,8.811544514919e-04,1.169299003002e-03,1.015431561615e-03,9.424577795714e-04
2.8,1.889455265727e-02,8.680177897685e-04,8.884219913338e-04,1.518917571418e-03,1.017997008270e-03,9.372933505216e-04
2.9,1.902917798088e-02,8.363269213595e-04,2.065836896373e-03,3.217968879631e-03,1.021201290481e-03,9.386905568517e-04
3,1.915661018613e-02,8.065592546316e-04,5.978305524042e-03,8.307934234770e-03,1.024893786437e-03,9.411096155441e-04
3.1,1.932878906965e-02,7.534972250904e-04,1.546036145276e-02,2.067793589496e-02,1.045788316976e-03,9.616213924971e-04
3.2,1.950009219123e-02,7.214706401443e-04,2.778807409443e-02,3.696918371506e-02,1.085323091708e-03,1.002699644250e-03
3.3,1.966616427053e-02,7.054706614587e-04,4.234853117532e-02,5.643989507455e-02,1.089285059010e-03,1.005189705921e-03
3.4,1.982600039801e-02,7.017145316729e-04,5.929939964362e-02,7.845111103752e-02,1.124778277758e-03,1.042112175486e-03
3.5,1.997989994461e-02,7.173518825570e-04,7.872420381153e-02,1.030347775464e-01,1.216858624736e-03,1.139709098916e-03
