step,perturbed_node,displacement_increment
1,0,0.0
2,2,1e-07
3,2,-1e-07
4,3,1e-07
5,3,-1e-07
6,6,1e-07
7,6,-1e-07
8,7,1e-07
9,7,-1e-07
10,10,1e-07
11,10,-1e-07
12,14,1e-07
13,14,-1e-07
14,15,1e-07
15,15,-1e-07
16,18,1e-07
17,18,-1e-07
18,21,1e-07
19,21,-1e-07
20,23,1e-07
21,23,-1e-07
22,25,1e-07
23,25,-1e-07
24,28,1e-07
25,28,-1e-07
26,30,1e-07
27,30,-1e-07
28,33,1e-07
29,33,-1e-07
30,35,1e-07
31,35,-1e-07
32,37,1e-07
33,37,-1e-07
34,40,1e-07
35,40,-1e-07
36,42,1e-07
37,42,-1e-07
38,45,1e-07
39,45,-1e-07
40,47,1e-07
41,47,-1e-07
42,49,1e-07
43,49,-1e-07
44,52,1e-07
45,52,-1e-07
46,54,1e-07
47,54,-1e-07
48,57,1e-07
49,57,-1e-07
50,60,1e-07
51,60,-1e-07
52,61,1e-07
53,61,-1e-07
54,64,1e-07
55,64,-1e-07
56,68,1e-07
57,68,-1e-07
58,69,1e-07
59,69,-1e-07
60,72,1e-07
61,72,-1e-07
62,76,1e-07
63,76,-1e-07
64,78,1e-07
65,78,-1e-07
66,80,1e-07
67,80,-1e-07
68,83,1e-07
69,83,-1e-07
70,85,1e-07
71,85,-1e-07
72,88,1e-07
73,88,-1e-07
