time,node,temperature,ux,uy,uz,reaction_heat
1.0,1,301.0,4.0000000000002247e-33,-8.8888888888883559e-34,-8.8888888888883713e-34,-17.724913769421054
1.0,2,302.0,0.20000000000000001,-1.7777777777777519e-33,-1.7777777777777529e-33,-12.32508623057909
1.0,3,303.0,0.20000000000000001,1.7777777777777529e-33,-1.7777777777777516e-33,-3.824913769420993
1.0,4,304.0,4.0000000000002219e-33,8.8888888888883781e-34,-8.8888888888883952e-34,-0.32508623057904473
1.0,5,305.0,4.0000000000002322e-33,-8.8888888888883781e-34,8.8888888888883798e-34,8.875086230579031
1.0,6,306.0,0.20000000000000001,-1.7777777777777519e-33,1.7777777777777536e-33,11.474913769421057
1.0,7,307.0,0.20000000000000001,1.7777777777777502e-33,1.7777777777777523e-33,19.97508623057906
1.0,8,308.0,4.0000000000002247e-33,8.8888888888883867e-34,8.8888888888883679e-34,26.274913769421037
2.0,1,301.0,0.0,0.0,0.0,-20.867601246105977
2.0,2,302.0,0.20000000000000001,0.0,0.0,-15.465732087227371
2.0,3,303.0,0.20000000000000001,0.0,0.0,-7.200934579439213
2.0,4,304.0,0.0,0.0,0.0,-4.465732087227358
2.0,5,305.0,0.0,0.0,0.0,4.465732087227341
2.0,6,306.0,0.20000000000000001,0.0,0.0,7.20093457943924
2.0,7,307.0,0.20000000000000001,0.0,0.0,15.465732087227405
2.0,8,308.0,0.0,0.0,0.0,20.867601246105934
3.0,1,301.0,-3.4050377049021842e-81,-1.4300645427585388e-80,-8.14520861514774e-81,-22.367601246105973
3.0,2,302.0,0.20000000000000001,-1.3791543719087411e-80,-7.8091851574271136e-81,-16.965732087227373
3.0,3,303.0,0.20000000000000001,5.801021042716382e-81,-1.0744910099712778e-80,-8.700934579439215
3.0,4,304.0,-2.0609438740197222e-81,5.6973876398679612e-81,-1.1150378405362327e-80,-5.965732087227365
3.0,5,305.0,-3.1138173748776683e-81,-1.9982823033681963e-80,-4.2574172093203897e-81,2.9657320872273414
3.0,6,306.0,0.20000000000000001,-2.1604696256280167e-80,-3.0410122923717382e-81,5.70093457943924
3.0,7,307.0,0.20000000000000001,-6.0876459117463639e-81,-5.9767372346573997e-81,13.965732087227405
3.0,8,308.0,1.4897039958948424e-81,-7.4076842315434442e-81,-7.262586999534981e-81,19.36760124610593
