step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
PRELOAD,0,0.0,1,1,0.0042113248654051857,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,2,0.0047886751345948145,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,3,0.0042113248654051857,0.0078867513459481495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,4,0.0047886751345948154,0.0078867513459481495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,1,0.0042113248654051857,0.0021343811405923688,5740528.1285878299,13394565.633371603,5740528.1285878299,2.7073297024444893e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,3.5195286131778362e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,2,0.0047886751345948145,0.0021343811405923688,5740528.1285878299,13394565.633371603,5740528.1285878299,2.1123270421633994e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,2.7460251548124194e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,3,0.0042113248654051857,0.0079656188594076308,5740528.1285878299,13394565.633371603,5740528.1285878299,2.7073297024444904e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,3.5195286131778377e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,4,0.0047886751345948154,0.0079656188594076308,5740528.1285878299,13394565.633371603,5740528.1285878299,2.1123270421633999e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,2.7460251548124203e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,1,0.0042113248654051857,0.0021343811405923688,5740528.1285878299,13394565.633371603,5740528.1285878299,2.7073297024444893e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,3.5195286131778362e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,2,0.0047886751345948145,0.0021343811405923688,5740528.1285878299,13394565.633371603,5740528.1285878299,2.1123270421633994e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,2.7460251548124194e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,3,0.0042113248654051857,0.0079656188594076308,5740528.1285878299,13394565.633371603,5740528.1285878299,2.7073297024444904e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,3.5195286131778377e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,4,0.0047886751345948154,0.0079656188594076308,5740528.1285878299,13394565.633371603,5740528.1285878299,2.1123270421633999e-38,-1.6312626628959888e-30,0.0099502487562189053,-2.0138414446088377e-32,2.7460251548124203e-47,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,1,0.15000000223517418,1,1,0.0042113248654051857,0.0021343811405923688,5743204.5416165767,13389212.807314113,5743204.5416165767,-4.2291132116170185e-24,3.4793369373701554e-06,0.0099432900823441649,3.4793369373701554e-06,-5.4978471751021243e-33,nan,nan,nan,nan,nan,-3.4793369373701554e-06,6.9586738747403117e-06,-3.4793369373701554e-06,-5.773408541361354e-36,6.958673874740312e-06
RELAX_FAST,1,0.15000000223517418,1,2,0.0047886751345948145,0.0021343811405923688,5746423.2133160401,13382775.463915184,5746423.2133160401,-4.2237723357501476e-24,7.6636101466731447e-06,0.0099349215359255585,7.6636101466731447e-06,-5.4909040364751913e-33,nan,nan,nan,nan,nan,-7.6636101466731447e-06,1.5327220293346293e-05,-7.6636101466731447e-06,-1.2716547168297201e-35,1.5327220293346293e-05
RELAX_FAST,1,0.15000000223517418,1,3,0.0042113248654051857,0.0079656188594076308,5768699.4826158211,13338222.925315624,5768699.4826158211,-1.1218519283778355e-24,3.6622760236386948e-05,0.0098770032357461315,3.6622760236386948e-05,-1.4584075068911861e-33,nan,nan,nan,nan,nan,-3.6622760236386948e-05,7.3245520472773909e-05,-3.6622760236386948e-05,-1.6283183943369631e-35,7.324552047277391e-05
