step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
PRELOAD,0,0.0,1,1,0.0042113248654051857,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,2,0.0047886751345948145,0.0021132486540518503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,3,0.0042113248654051857,0.0078867513459481495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,0,0.0,1,4,0.0047886751345948154,0.0078867513459481495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,1,0.0042113248654051857,0.0021132486540518503,5769230.7692307709,13461538.46153846,5769230.7692307699,0.0,1.0842021724855044e-18,0.01,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,2,0.0047886751345948145,0.0021132486540518503,5769230.7692307718,13461538.461538462,5769230.7692307709,0.0,1.0842021724855044e-18,0.010000000000000002,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,3,0.0042113248654051857,0.0078867513459481495,5769230.7692307709,13461538.461538462,5769230.7692307709,0.0,8.6736173798840355e-19,0.010000000000000002,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
PRELOAD,1,0.10000000149011612,1,4,0.0047886751345948154,0.0078867513459481495,5769230.7692307699,13461538.46153846,5769230.7692307699,0.0,8.6736173798840355e-19,0.01,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,1,0.0042113248654051857,0.0021132486540518503,5769230.7692307709,13461538.46153846,5769230.7692307699,0.0,1.0842021724855044e-18,0.01,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,2,0.0047886751345948145,0.0021132486540518503,5769230.7692307718,13461538.461538462,5769230.7692307709,0.0,1.0842021724855044e-18,0.010000000000000002,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,3,0.0042113248654051857,0.0078867513459481495,5769230.7692307709,13461538.461538462,5769230.7692307709,0.0,8.6736173798840355e-19,0.010000000000000002,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,0,0.10000000149011612,1,4,0.0047886751345948154,0.0078867513459481495,5769230.7692307699,13461538.46153846,5769230.7692307699,0.0,8.6736173798840355e-19,0.01,-2.0138414446088421e-32,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
RELAX_FAST,1,0.15000000223517418,1,1,0.0042113248654051857,0.0021132486540518503,5771942.9665432647,13456114.066913472,5771942.9665432638,-4.2761025794833552e-24,3.5258565062425762e-06,0.0099929482869875168,3.5258565062414937e-06,-5.5589333533283622e-33,nan,nan,nan,nan,nan,-3.525856506241492e-06,7.0517130124829849e-06,-3.5258565062414937e-06,0.0,7.051713012482986e-06
RELAX_FAST,1,0.15000000223517418,1,2,0.0047886751345948145,0.0021132486540518503,5775223.4909859831,13449553.018028039,5775223.4909859821,-4.2761025794833574e-24,7.7905382817751932e-06,0.0099844189234364542,7.7905382817741124e-06,-5.5589333533283649e-33,nan,nan,nan,nan,nan,-7.790538281774109e-06,1.5581076563548221e-05,-7.7905382817741124e-06,0.0,1.558107656354822e-05
RELAX_FAST,1,0.15000000223517418,1,3,0.0042113248654051857,0.0078867513459481495,5798487.7683373736,13403024.463325256,5798487.7683373736,-1.145778232925213e-24,3.8034098838584278e-05,0.0099239318023228353,3.8034098838583411e-05,-1.4895117028027771e-33,nan,nan,nan,nan,nan,-3.8034098838583411e-05,7.6068197677166835e-05,-3.8034098838583411e-05,0.0,7.606819767716682e-05
RELAX_FAST,1,0.15000000223517418,1,4,0.0047886751345948154,0.0078867513459481495,5782471.9570565782,13435056.085886844,5782471.9570565782,-1.1457782329252036e-24,1.7213544173551122e-05,0.0099655729116528997,1.7213544173550255e-05,-1.4895117028027648e-33,nan,nan,nan,nan,nan,-1.7213544173550255e-05,3.4427088347100524e-05,-1.7213544173550255e-05,0.0,3.442708834710052e-05
