time,node,r,z,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.10000000149011612,1,0.004,0.0,610.0,2.0000000000000002e-05,1.8627074905334757e-35,1344.3078381897831,-17.324004491557435,15.33609394773388
0.10000000149011612,2,0.005,0.0,604.0,1.0000000000000001e-05,2.0059926821129893e-35,-1319.3720181692943,-19.257803798780639,-5.621631110677769
0.10000000149011612,3,0.005,0.01,604.0,1.0000000000000001e-05,4.0000000000000003e-05,-1319.3720181692947,19.257803798780611,-5.621631110677789
0.10000000149011612,4,0.004,0.01,610.0,2.0000000000000002e-05,4.0000000000000003e-05,1344.3078381897828,17.324004491557453,15.3360939477339
0.20000000298023224,1,0.004,0.0,620.0,4.0000000000000003e-05,0.0,2690.6635042606995,-32.219788797600309,24.163489983012774
0.20000000298023224,2,0.005,0.0,608.0,2.0000000000000002e-05,0.0,-2644.2851470711357,-37.092602231837631,-14.474703634041854
0.20000000298023224,3,0.005,0.01,608.0,2.0000000000000002e-05,8.0000000000000007e-05,-2644.2851470711353,37.092602231837759,-14.474703634041855
0.20000000298023224,4,0.004,0.01,620.0,4.0000000000000003e-05,8.0000000000000007e-05,2690.663504260699,32.219788797600195,24.163489983012774
0.30000001192092896,1,0.004,0.0,630.0,6.0000000000000015e-05,8.0182941302765869e-51,4038.3653916061876,-44.759473608381654,33.298809265561744
0.30000001192092896,2,0.005,0.0,612.0,3.0000000000000008e-05,1.0691058840368783e-50,-3973.9100744014695,-53.566095337115158,-23.636909797493608
0.30000001192092896,3,0.005,0.01,612.0,3.0000000000000008e-05,0.00012000000000000003,-3973.9100744014695,53.566095337115172,-23.63690979749357
0.30000001192092896,4,0.004,0.01,630.0,6.0000000000000015e-05,0.00012000000000000003,4038.3653916061876,44.759473608381654,33.29880926556171
0.4000000059604645,1,0.004,0.0,640.0,8.0000000000000007e-05,-1.3506706794129335e-50,5386.6850116228861,-55.015351412146011,42.75229474631044
0.4000000059604645,2,0.005,0.0,616.0,4.0000000000000003e-05,-1.7105299159980798e-50,-5307.3903550446785,-68.739609039891178,-33.11850084576725
