step,contact_area_m2,normal_force_x_n,normal_force_y_n,normal_force_z_n,normal_moment_x_nm,normal_moment_y_nm,normal_moment_z_nm,center_x_m,center_y_m,center_z_m
BASE,1,-10000,1.043813473156074e-12,-1.251187738485204e-12,-1.14102520834547e-12,-5000,5000,0.9998999834060669,0.5,0.5
S1_PLUS,1,-9991.6669921875,1.042464291972633e-12,-1.25084231167305e-12,-1.140168363368554e-12,-4994.9150390625,4994.9150390625,0.9999001026153564,0.4999080896377563,0.4999080896377563
S1_MINUS,1,-10008.3330078125,1.045162654339515e-12,-1.251533273717576e-12,-1.141882161742602e-12,-5005.0849609375,5005.0849609375,0.9998999238014221,0.5000917911529541,0.5000917911529541
S2_PLUS,1,-9991.6669921875,1.04312760686176e-12,-1.250465442997895e-12,-1.140525391143954e-12,-4994.9150390625,4996.751953125,0.9999001026153564,0.5000919103622437,0.4999080896377563
S2_MINUS,1,-10008.3330078125,1.044499447870606e-12,-1.251910142392731e-12,-1.141525025546986e-12,-5005.0849609375,5003.248046875,0.9998999238014221,0.4999082386493683,0.5000917911529541
S3_PLUS,1,-9991.6669921875,1.043124137414808e-12,-1.250550878129086e-12,-1.140907463989538e-12,-4996.751953125,4996.751953125,0.9999001026153564,0.5000919103622437,0.5000919103622437
S3_MINUS,1,-10008.3330078125,1.044502917317558e-12,-1.251824598841322e-12,-1.141142952701402e-12,-5003.248046875,5003.248046875,0.9998999238014221,0.4999082386493683,0.4999082386493683
S4_PLUS,1,-9991.6669921875,1.043651927032374e-12,-1.250039785224977e-12,-1.140749062052138e-12,-4996.751953125,4994.9150390625,0.9999001026153564,0.4999080896377563,0.5000919103622437
S4_MINUS,1,-10008.3330078125,1.043975127699992e-12,-1.252335691745432e-12,-1.141301463059019e-12,-5003.248046875,5005.0849609375,0.9998999238014221,0.5000917911529541,0.4999082386493683
S5_PLUS,1,-10033.3330078125,1.048188337342271e-12,-1.256054830457709e-12,-1.144874126057793e-12,-5013.5556640625,5016.66650390625,0.999899685382843,0.5,0.4996899366378784
S5_MINUS,1,-9966.6669921875,1.039438608969878e-12,-1.2463206465127e-12,-1.137176290633146e-12,-4986.4443359375,4983.33349609375,0.9999003410339355,0.5,0.5003121495246887
S6_PLUS,1,-10033.3330078125,1.04714609379386e-12,-1.255429354224402e-12,-1.144915542580782e-12,-5016.66650390625,5019.77783203125,0.999899685382843,0.5003100633621216,0.5
S6_MINUS,1,-9966.6669921875,1.040480852518288e-12,-1.246946231166224e-12,-1.137134874110157e-12,-4983.33349609375,4980.22216796875,0.9999003410339355,0.4996878504753113,0.5
S7_PLUS,1,-10033.3330078125,1.045637751731499e-12,-1.254304928151317e-12,-1.143373807091508e-12,-5019.77783203125,5016.66650390625,0.999899685382843,0.5,0.5003100633621216
S7_MINUS,1,-9966.6669921875,1.041989303000868e-12,-1.248070657239309e-12,-1.138676609599432e-12,-4980.22216796875,4983.33349609375,0.9999003410339355,0.5,0.4996878504753113
S8_PLUS,1,-10033.3330078125,1.047606012355429e-12,-1.25432650377455e-12,-1.144098270983163e-12,-5016.66650390625,5013.5556640625,0.999899685382843,0.4996899366378784,0.5
S8_MINUS,1,-9966.6669921875,1.040021042376937e-12,-1.248049081616076e-12,-1.137952145707777e-12,-4983.33349609375,4986.4443359375,0.9999003410339355,0.5003121495246887,0.5
