step,contact_area_m2,normal_force_x_n,normal_force_y_n,normal_force_z_n,normal_moment_x_nm,normal_moment_y_nm,normal_moment_z_nm,center_x_m,center_y_m,center_z_m
BASE,2,-20000,-2.399138288207425e-13,-1.389586579483848e-12,-9.767293310952718e-13,-10000,20000,0.9998999834060669,1,0.5
S01_PLUS,2,-19990,-2.420087513634733e-13,-1.388034977754804e-12,-9.748625517946863e-13,-9993.8974609375,19991.953125,0.9999000430107117,1.000097751617432,0.4999448657035828
S01_MINUS,2,-20010,-2.378189062780117e-13,-1.391138181212892e-12,-9.785962188160746e-13,-10006.1025390625,20008.046875,0.9998999238014221,0.9999023675918579,0.5000550746917725
S02_PLUS,2,-19983.333984375,-2.401147585883584e-13,-1.390629581973779e-12,-9.788440674327048e-13,-9989.830078125,19984.068359375,0.9999001026153564,1.000036716461182,0.4999080896377563
S02_MINUS,2,-20016.666015625,-2.39712926158181e-13,-1.388543576993917e-12,-9.746147031780561e-13,-10010.169921875,20015.931640625,0.9998999238014221,0.9999632835388184,0.5000917911529541
S03_PLUS,2,-19983.333984375,-2.413474964584744e-13,-1.389214264457816e-12,-9.756660540247153e-13,-9993.50390625,19984.068359375,0.9999001026153564,1.000036716461182,0.5000919103622437
S03_MINUS,2,-20016.666015625,-2.384801611830106e-13,-1.38995889450988e-12,-9.777927165860456e-13,-10006.49609375,20015.931640625,0.9998999238014221,0.9999632835388184,0.4999082386493683
S04_PLUS,2,-19990,-2.390563333225237e-13,-1.387381962786316e-12,-9.762599799748028e-13,-9996.1025390625,19991.953125,0.9999000430107117,1.000097751617432,0.5000551342964172
S04_MINUS,2,-20010,-2.407713243189613e-13,-1.39179119618138e-12,-9.77198790635958e-13,-10003.8974609375,20008.046875,0.9998999238014221,0.9999023675918579,0.4999449253082275
S05_PLUS,2,-20040,-2.39221782574045e-13,-1.395976867088478e-12,-9.820743393854081e-13,-10016.2666015625,20025.765625,0.9998998045921326,0.9992897510528564,0.4998137056827545
S05_MINUS,2,-19960,-2.4060587506744e-13,-1.383196400299436e-12,-9.713843228051355e-13,-9983.7333984375,19974.234375,0.999900221824646,1.000713109970093,0.5001870393753052
S06_PLUS,2,-20066.666015625,-2.410743859312253e-13,-1.395227358126638e-12,-9.798882625450256e-13,-10033.3330078125,20069.15625,0.999899685382843,1.000123977661133,0.5
S06_MINUS,2,-19933.333984375,-2.387532717102597e-13,-1.383945800841058e-12,-9.735705080657353e-13,-9966.6669921875,19930.84375,0.9999003410339355,0.9998751282691956,0.5
S07_PLUS,2,-20040,-2.378863707581946e-13,-1.394702604275155e-12,-9.818092519542354e-13,-10023.7333984375,20025.765625,0.9998998045921326,0.9992897510528564,0.5001862645149231
S07_MINUS,2,-19960,-2.419413139883447e-13,-1.384470663112758e-12,-9.716494102363082e-13,-9976.2666015625,19974.234375,0.999900221824646,1.000713109970093,0.4998129606246948
S08_PLUS,2,-20040,-2.385200869280124e-13,-1.393151653067415e-12,-9.807305792128296e-13,-10020,20020.576171875,0.9998998045921326,0.9990307688713074,0.5
S08_MINUS,2,-19960,-2.41307597818527e-13,-1.386021505900281e-12,-9.727281913979313e-13,-9980,19979.423828125,0.999900221824646,1.000973105430603,0.5
S09_PLUS,2,-19993.333984375,-2.394293259749131e-13,-1.390084228281019e-12,-9.778251342310029e-13,-9995.931640625,19990.64453125,0.9999000430107117,0.9998655319213867,0.499963253736496
S09_MINUS,2,-20006.666015625,-2.40398331666572e-13,-1.389088930686677e-12,-9.756335279595407e-13,-10004.068359375,20009.35546875,0.9998999834060669,1.000134348869324,0.5000367164611816
S10_PLUS,2,-19993.333984375,-2.378878886412361e-13,-1.389159295407671e-12,-9.773769250528974e-13,-9997.4013671875,19990.64453125,0.9999000430107117,0.9998655319213867,0.5000367760658264
S10_MINUS,2,-20006.666015625,-2.419397961053033e-13,-1.390013863560025e-12,-9.760817371376462e-13,-10002.5986328125,20009.35546875,0.9998999834060669,1.000134348869324,0.4999632835388184
S11_PLUS,2,-20026.666015625,-2.425374625528859e-13,-1.388868078704142e-12,-9.744442665965414e-13,-10010.8447265625,20040.900390625,0.9998998641967773,1.000710725784302,0.4998757243156433
S11_MINUS,2,-19973.333984375,-2.372901950885992e-13,-1.390305188683771e-12,-9.790145040142195e-13,-9989.1552734375,19959.099609375,0.9999001622200012,0.9992873668670654,0.5001246333122253
S12_PLUS,2,-20026.666015625,-2.406710356180064e-13,-1.388648744604648e-12,-9.752889685091248e-13,-10013.3330078125,20043.6015625,0.9998998641967773,1.000845670700073,0.5
S12_MINUS,2,-19973.333984375,-2.391566220234786e-13,-1.390524414363048e-12,-9.781698021016361e-13,-9986.6669921875,19956.3984375,0.9999001622200012,0.9991521239280701,0.5
S13_PLUS,2,-20026.666015625,-2.415232998407429e-13,-1.387442027586672e-12,-9.721787177369157e-13,-10015.822265625,20040.900390625,0.9998998641967773,1.000710725784302,0.5001242756843567
S13_MINUS,2,-19973.333984375,-2.383043578007421e-13,-1.391731131381024e-12,-9.812800528738452e-13,-9984.177734375,19959.099609375,0.9999001622200012,0.9992873668670654,0.499875396490097
OPEN,0,0,0,0,0,0,0,0,0,0
RECLOSE,2,-20000,-2.399138288207425e-13,-1.389586579483848e-12,-9.767293310952718e-13,-10000,20000,0.9998999834060669,1,0.5
