step,side,local_node,node_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,secondary,1,57,-9.999999999999999e-05,9999.999999999996,-999.9999999999997,-2.479234370798595e-14,-1.480790439310526e-13
BASE,secondary,2,60,-9.999999999999998e-05,9999.999999999996,-999.9999999999995,3.233515093711838e-14,-5.248843063668486e-14
BASE,secondary,3,64,-9.999999999999996e-05,9999.999999999996,-1000,7.182047643910884e-14,-2.539921055036021e-14
BASE,secondary,4,61,-0.0001,10000,-999.9999999999997,-2.294665537555557e-14,1.112320100530495e-14
BASE,secondary,5,68,-9.999999999999998e-05,9999.999999999996,4000,-5.411093118943904e-13,1.745005414524737e-13
BASE,secondary,6,72,-9.999999999999999e-05,9999.999999999996,3999.999999999999,-2.288881982759431e-13,3.518644398973741e-13
BASE,secondary,7,76,-9.999999999999998e-05,9999.999999999998,4000,-1.14189145386936e-13,5.291839338879132e-13
BASE,secondary,8,69,-9.999999999999999e-05,9999.999999999998,4000,-1.742054656944962e-13,2.245453672273904e-13
BASE,primary,1,2,,4148.630299469644,147.2095544246908,-1.115285350216646e-14,1.939618770962394e-16
BASE,primary,2,3,,10000,398.302157538013,5.502399654593479e-14,7.286825275896312e-14
BASE,primary,3,7,,10000,398.3021575380133,5.834477596009681e-14,-5.903092351021287e-14
BASE,primary,4,6,,4148.630299469643,147.2095544246909,-1.397497884336577e-14,1.067187607652986e-14
BASE,primary,5,10,,7492.270128344133,-367.1695980284279,4.01479609448198e-14,1.044109685019511e-14
BASE,primary,6,15,,10000,-2518.612670116973,7.51437800937731e-14,-1.033804641777848e-13
BASE,primary,7,18,,7492.270128344131,-367.1695980284279,5.600645977186221e-14,-4.694006660640702e-14
BASE,primary,8,14,,4148.630299469643,-154.2673562005963,8.258746070465356e-15,-4.274250794744846e-15
BASE,primary,9,21,,4234.949352719768,841.6513085670408,4.260548811379106e-14,8.986207035430807e-14
BASE,primary,10,23,,4234.949352719775,841.6513085670412,-9.480810927755745e-14,2.031521584573312e-14
BASE,primary,11,25,,7529.264008308471,-1691.593977306673,2.181395246694257e-13,-3.612798042632016e-14
BASE,primary,12,28,,4234.949352719772,-3306.495688860173,2.030707620897301e-13,-2.627494329759947e-13
BASE,primary,13,30,,7529.264008308473,-1691.593977306672,2.398931467074535e-14,-2.067246127147911e-13
BASE,primary,14,33,,9953.186097489703,344.1246384763399,-2.970836764875024e-14,2.189149956131521e-14
BASE,primary,15,35,,9953.186097489706,344.1246384763406,-2.518915790094721e-14,5.75121230240976e-15
BASE,primary,16,37,,7529.264008308472,-1656.018457449027,2.177130434900118e-13,-1.30470662995684e-13
BASE,primary,17,40,,9953.186097489703,-2014.10118712635,1.162695664975445e-13,-2.049404460937025e-13
BASE,primary,18,42,,7529.264008308473,-1656.018457449026,5.978055811851436e-14,-2.356492982673458e-13
BASE,primary,19,45,,117.0560332338913,9.625820545054459,-4.887458432992823e-16,1.538383087923408e-15
BASE,primary,20,47,,117.0560332338913,9.625820545054616,-6.07478475530568e-16,1.767073422696107e-15
BASE,primary,21,49,,4319.506212774023,-26.13144676701235,1.286457895491036e-15,-4.129687952532985e-15
