step,node,gap
BASE,532,-9.9999999999985856e-05
BASE,535,-9.9999999999970379e-05
BASE,536,-9.999999999999228e-05
BASE,539,-9.9999999999994177e-05
BASE,543,-9.999999999997046e-05
BASE,547,-9.9999999999969891e-05
BASE,548,-9.9999999999977087e-05
BASE,551,-9.9999999999971965e-05
PRIMARY_PLUS,532,-9.9999653752436696e-05
PRIMARY_PLUS,535,-9.9999999999970379e-05
PRIMARY_PLUS,536,-9.999999999999228e-05
PRIMARY_PLUS,539,-9.9999999999994177e-05
PRIMARY_PLUS,543,-9.9999599334321053e-05
PRIMARY_PLUS,547,-9.9999999999969891e-05
PRIMARY_PLUS,548,-9.999995095979606e-05
PRIMARY_PLUS,551,-9.9999999999971965e-05
PRIMARY_MINUS,532,-0.00010000034624753663
PRIMARY_MINUS,535,-9.9999999999970379e-05
PRIMARY_MINUS,536,-9.999999999999228e-05
PRIMARY_MINUS,539,-9.9999999999994177e-05
PRIMARY_MINUS,543,-0.0001000004006656217
PRIMARY_MINUS,547,-9.9999999999969891e-05
PRIMARY_MINUS,548,-0.00010000004904015835
PRIMARY_MINUS,551,-9.9999999999971965e-05
