normal_force,id,x,y,z
-51.23388289285927,51,1,0,0
-125.5425491927895,54,1,0.28,0
-122.9210288035585,55,1,0,0.43
-297.6423750571647,58,1,0.28,0.43
210.8730427363923,62,1,0.14,0
212.6659146297949,63,1,0,0.215
494.161571352408,66,1,0.28,0.215
478.1925916351147,70,1,0.14,0.43
-135.1828981976544,72,1,0.67,0
-320.3772982237404,74,1,0.67,0.43
289.0762200460879,77,1,0.475,0
530.6407569882317,79,1,0.67,0.215
657.2419743599744,82,1,0.475,0.43
-60.84646505006656,84,1,1,0
-145.8339052932434,86,1,1,0.43
248.7668949703671,89,1,0.835,0
249.6404687005824,91,1,1,0.215
564.345644419995,94,1,0.835,0.43
-67.66556268748593,95,1,0,1
-165.9590822096936,98,1,0.28,1
280.3208351692514,99,1,0,0.715
651.7552072324817,102,1,0.28,0.715
277.9877531742564,106,1,0.14,1
-178.7311573249788,108,1,0.67,1
699.9940319449798,110,1,0.67,0.715
381.2988831720158,113,1,0.475,1
-80.38263621019706,115,1,1,1
329.0812161631254,117,1,1,0.715
327.9509112255739,120,1,0.835,1
