T,disp_x,disp_y,disp_z,id,x,y,z
600,0,0,0,0,0,0,0
600,0.0020000000000001,0,0,1,1,0,0
600,0.0020000000000003,-0.00079670750339414,0,2,1,1,0
600,0,-0.00079670750339249,0,3,0,1,0
600,0,0,-0.00079670750339248,4,0,0,1
600,0.0020000000000005,0,-0.00079670750339433,5,1,0,1
600,0.0020000000000002,-0.000796707503394,-0.00079670750339384,6,1,1,1
600,0,-0.00079670750339347,-0.00079670750339341,7,0,1,1
600,0.004,0,0,8,2,0,0
600,0.004,-0.00079670750339289,0,9,2,1,0
600,0.004,0,-0.00079670750339316,10,2,0,1
600,0.004,-0.00079670750339326,-0.0007967075033931,11,2,1,1
