T,disp_x,disp_y,disp_z,id,x,y,z
600,0,0,0,0,0,0,0
600,0.0019999999999289,0,0,1,1,0,0
600,0.0019999999999227,-0.00079903663694354,0,2,1,1,0
600,0,-0.00079903663681138,0,3,0,1,0
600,0,0,-0.00079903663681138,4,0,0,1
600,0.0019999999999227,0,-0.00079903663694354,5,1,0,1
600,0.0019999999999102,-0.00079903663694678,-0.00079903663694678,6,1,1,1
600,0,-0.00079903663686717,-0.00079903663686717,7,0,1,1
600,0.004,0,0,8,2,0,0
600,0.004,-0.00079903663698724,0,9,2,1,0
600,0.004,0,-0.00079903663698724,10,2,0,1
600,0.004,-0.00079903663698431,-0.00079903663698431,11,2,1,1
