T,disp_x,disp_y,disp_z,id,x,y,z
600,0,0,0,0,0,0,0
600,0.0019999999999252,0,0,1,1,0,0
600,0.0019999999999442,-0.0007980198020085,0,2,1,1,0
600,0,-0.00079801980188978,0,3,0,1,0
600,0,0,-0.00079801980188978,4,0,0,1
600,0.0019999999999442,0,-0.0007980198020085,5,1,0,1
600,0.0019999999999708,-0.00079801980200354,-0.00079801980200353,6,1,1,1
600,0,-0.00079801980191118,-0.00079801980191118,7,0,1,1
600,0.004,0,0,8,2,0,0
600,0.004,-0.00079801980200394,0,9,2,1,0
600,0.004,0,-0.00079801980200395,10,2,0,1
600,0.004,-0.00079801980200787,-0.00079801980200787,11,2,1,1
