disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,0,0
9.9998350042903e-06,0,0,1,1,0,0
9.9998350042902e-06,9.9998350042902e-06,0,2,1,1,0
0,9.9998350042903e-06,0,3,0,1,0
0,0,9.9998350042904e-06,4,0,0,1
9.9998350042903e-06,0,9.9998350042901e-06,5,1,0,1
9.9998350042904e-06,9.9998350042904e-06,9.9998350042903e-06,6,1,1,1
0,9.9998350042903e-06,9.9998350042902e-06,7,0,1,1
4.9999175021451e-06,0,0,8,0.5,0,0
9.9998350042903e-06,4.9999175021451e-06,0,9,1,0.5,0
4.9999175021451e-06,9.9998350042903e-06,0,10,0.5,1,0
0,4.9999175021451e-06,0,11,0,0.5,0
0,0,4.9999175021451e-06,12,0,0,0.5
9.9998350042903e-06,0,4.9999175021451e-06,13,1,0,0.5
9.9998350042903e-06,9.9998350042903e-06,4.9999175021451e-06,14,1,1,0.5
0,9.9998350042903e-06,4.9999175021451e-06,15,0,1,0.5
4.9999175021452e-06,0,9.9998350042903e-06,16,0.5,0,1
9.9998350042904e-06,4.9999175021451e-06,9.9998350042903e-06,17,1,0.5,1
4.9999175021451e-06,9.9998350042904e-06,9.9998350042903e-06,18,0.5,1,1
0,4.9999175021452e-06,9.9998350042903e-06,19,0,0.5,1
