disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,-0.0001,-0.0001
-9.4301226504017e-05,-9.7597223015475e-06,-1.017716787578e-05,1,0.01,-0.0001,-0.0001
-9.6992332721416e-05,1.2168275033386e-05,-1.0498299777374e-05,2,0.01,0.0101,-0.0001
0,0,0,3,0,0.0101,-0.0001
0,0,0,4,0,-0.0001,0.0101
-9.5915389081864e-05,-9.9523220966157e-06,1.1622255229952e-05,5,0.01,-0.0001,0.0101
-9.8608771718527e-05,1.2361115884427e-05,1.1943628202895e-05,6,0.01,0.0101,0.0101
0,0,0,7,0,0.0101,0.0101
-4.541052653631e-05,-1.2369143460605e-05,-1.2409669679922e-05,8,0.005,-0.0001,-0.0001
-9.676085641935e-05,1.0680484317334e-06,-1.0361212860611e-05,9,0.01,0.005,-0.0001
-4.6659343205903e-05,1.2912292856209e-05,-1.2750443256555e-05,10,0.005,0.0101,-0.0001
0,0,0,11,0,0.005,-0.0001
0,0,0,12,0,-0.0001,0.005
-9.622103842638e-05,-9.831990080004e-06,6.4083601912157e-07,13,0.01,-0.0001,0.005
-9.8921588136077e-05,1.2478370378898e-05,6.4080866937148e-07,14,0.01,0.0101,0.005
0,0,0,15,0,0.0101,0.005
-4.6159700385708e-05,-1.2573626619682e-05,1.2735574935853e-05,16,0.005,-0.0001,0.0101
-9.8381208027962e-05,1.0680210912173e-06,1.1949043250781e-05,17,0.01,0.005,0.0101
-4.7408994332617e-05,1.3116708678932e-05,1.307628118382e-05,18,0.005,0.0101,0.0101
0,0,0,19,0,0.005,0.0101
-9.4517011915541e-05,3.6448855856518e-05,1.6857006948741e-05,20,0.009999,0,0
-0.0002,5e-05,3e-05,21,0.019999,0,0
-0.0002,5e-05,3e-05,22,0.019999,0.01,0
-9.7125848810312e-05,6.1196940548033e-05,1.7169286315118e-05,23,0.009999,0.01,0
-9.608198088118e-05,3.66360199687e-05,4.1730640736978e-05,24,0.009999,0,0.01
-0.0002,5e-05,3e-05,25,0.019999,0,0.01
-0.0002,5e-05,3e-05,26,0.019999,0.01,0.01
-9.8692268672611e-05,6.100890497249e-05,4.141748989453e-05,27,0.009999,0.01,0.01
-0.00014937241976088,3.6727534723768e-05,1.6768442077922e-05,28,0.014999,0,0
-0.0002,5e-05,3e-05,29,0.019999,0.005,0
-0.00015058000702352,6.2745645131215e-05,1.7090848525412e-05,30,0.014999,0.01,0
-9.6899931456471e-05,4.8951435098229e-05,1.7037696946738e-05,31,0.009999,0.005,0
-9.6380507741021e-05,3.6521521784529e-05,2.9370929378914e-05,32,0.009999,0,0.005
-0.0002,5e-05,3e-05,33,0.019999,0,0.005
-0.0002,5e-05,3e-05,34,0.019999,0.01,0.005
-9.8978739774842e-05,6.0896432056479e-05,2.9370578747754e-05,35,0.009999,0.01,0.005
-0.0001500968524746,3.6920984989656e-05,4.2915462494705e-05,36,0.014999,0,0.01
-0.0002,5e-05,3e-05,37,0.019999,0.005,0.01
-0.00015130494119621,6.2552200230022e-05,4.2593061405556e-05,38,0.014999,0.01,0.01
-9.8458891917222e-05,4.8951084460736e-05,4.1413072747518e-05,39,0.009999,0.005,0.01
