disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,-0.0001,-0.0001
-1.2717151134948e-05,-1.3991955872076e-06,-1.399195587208e-06,1,0.01,-0.0001,-0.0001
-1.2717151134948e-05,1.3991955872075e-06,-1.399195587208e-06,2,0.01,0.0101,-0.0001
0,0,0,3,0,0.0101,-0.0001
0,0,0,4,0,-0.0001,0.0101
-1.2717151134948e-05,-1.3991955872075e-06,1.3991955872079e-06,5,0.01,-0.0001,0.0101
-1.2717151134948e-05,1.3991955872074e-06,1.3991955872079e-06,6,0.01,0.0101,0.0101
0,0,0,7,0,0.0101,0.0101
-6.3585755674739e-06,2.6773701219873e-07,2.6773701219878e-07,8,0.005,-0.0001,-0.0001
-1.0302861276663e-05,-1.9479939820333e-20,-1.3971330445543e-06,9,0.01,0.005,-0.0001
-6.3585755674739e-06,-2.6773701219874e-07,2.6773701219879e-07,10,0.005,0.0101,-0.0001
0,0,0,11,0,0.005,-0.0001
0,0,0,12,0,-0.0001,0.005
-1.0302861276662e-05,-1.3971330445538e-06,-3.3253286515249e-20,13,0.01,-0.0001,0.005
-1.0302861276662e-05,1.3971330445538e-06,-3.1961353951739e-20,14,0.01,0.0101,0.005
0,0,0,15,0,0.0101,0.005
-6.3585755674739e-06,2.6773701219871e-07,-2.6773701219883e-07,16,0.005,-0.0001,0.0101
-1.0302861276663e-05,-1.8730295470077e-20,1.3971330445542e-06,17,0.01,0.005,0.0101
-6.3585755674739e-06,-2.6773701219872e-07,-2.6773701219883e-07,18,0.005,0.0101,0.0101
0,0,0,19,0,0.005,0.0101
-6.4827327116272e-06,-1.5868034309814e-06,-1.5868034309814e-06,20,0.009999,0,0
-2e-05,0,0,21,0.019999,0,0
-2e-05,0,0,22,0.019999,0.01,0
-6.4827327116274e-06,1.5868034309811e-06,-1.5868034309814e-06,23,0.009999,0.01,0
-6.4827327116268e-06,-1.5868034309813e-06,1.5868034309819e-06,24,0.009999,0,0.01
-2e-05,0,0,25,0.019999,0,0.01
-2e-05,0,0,26,0.019999,0.01,0.01
-6.482732711627e-06,1.5868034309811e-06,1.586803430982e-06,27,0.009999,0.01,0.01
-1.3241366355814e-05,3.0824619168253e-07,3.0824619168273e-07,28,0.014999,0,0
-2e-05,0,0,29,0.019999,0.005,0
-1.3241366355814e-05,-3.0824619168259e-07,3.0824619168273e-07,30,0.014999,0.01,0
-9.2093173158669e-06,-1.0936988189035e-19,-1.5889088667786e-06,31,0.009999,0.005,0
-9.2093173158673e-06,-1.5889088667785e-06,2.8112606068359e-19,32,0.009999,0,0.005
-2e-05,0,0,33,0.019999,0,0.005
-2e-05,0,0,34,0.019999,0.01,0.005
-9.2093173158675e-06,1.5889088667783e-06,2.802587141644e-19,35,0.009999,0.01,0.005
-1.3241366355813e-05,3.0824619168252e-07,-3.0824619168256e-07,36,0.014999,0,0.01
-2e-05,0,0,37,0.019999,0.005,0.01
-1.3241366355813e-05,-3.0824619168258e-07,-3.0824619168257e-07,38,0.014999,0.01,0.01
-9.2093173158664e-06,-1.079978172704e-19,1.5889088667791e-06,39,0.009999,0.005,0.01
