time,axial_creep,axial_displacement,axial_plastic,axial_stress,effective_creep,effective_plastic,hoop_creep,hoop_plastic,hoop_stress,radial_creep,radial_plastic,radial_stress
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,8.0979510930846e-08,1.005e-07,0,20087541.613703,8.0979510930846e-08,0,-4.0489755465423e-08,0,6229.1931485294,-4.0489755465423e-08,0,6229.1931485288
0.2,7.306275172834e-07,2.0173062093455e-07,0,40199998.987272,7.306275172834e-07,0,-3.653137586417e-07,0,0.50636402051896,-3.653137586417e-07,0,0.50636402098462
0.3,2.9231890424166e-06,3.0442315945321e-07,0,60299995.447815,2.9231890424166e-06,0,-1.4615945212083e-06,0,2.2760925682297,-1.4615945212083e-06,0,2.2760925661703
0.4,8.1203700588363e-06,4.1012028912056e-07,0,80399987.547957,8.1203700588363e-06,0,-4.0601850294182e-06,0,6.2260216088369,-4.0601850294182e-06,0,6.2260216055052
0.5,1.8271108750573e-05,5.2077092971657e-07,0,100499972.45631,1.8271108750573e-05,0,-9.1355543752866e-06,0,13.771846767515,-9.1355543752866e-06,0,13.771846769378
0.6,3.5811570226897e-05,6.3881121163986e-07,0,120599944.83276,3.5811570226897e-05,0,-1.7905785113448e-05,0,27.583618135835,-1.7905785113448e-05,0,27.583618138773
0.7,6.3665132166959e-05,7.6716444630598e-07,0,140699894.48293,6.3665132166959e-05,0,-3.183256608348e-05,0,52.758536725871,-3.183256608348e-05,0,52.758536725189
0.8,0.00010524237949959,9.0924109582276e-07,0,160799802.51126,0.00010524237949959,0,-5.2621189749796e-05,0,98.744371872606,-5.2621189749796e-05,0,98.744371870062
0.9,0.00016444102358379,1.0689386523973e-06,0,180899635.20208,0.00016444102358379,0,-8.2220511791896e-05,0,182.39895954298,-8.2220511791896e-05,0,182.39895954416
1,0.00024564701918764,1.7506410289082e-06,0.00049999406119027,200999992.08159,0.00024564701918764,0.00049999406119027,-0.00012282350959382,-0.00024999703059513,3.959206457183,-0.00012282350959382,-0.00024999703059513,3.9592064526704
