time,T_center,T_clad_inner,T_fuel_surface,average_effective_creep,average_effective_plastic,average_vonmises_stress,u_clad_inner,u_clad_outer,u_fuel_outer,u_z_fuel_top
0,0,0,0,0,0,0,0,0,0,0
1,602.43950787933,600.33821851681,600.36387411222,0,0,0,0,0,6.1341567420651e-08,1.8200358019396e-07
2,606.57113869537,600.82288778964,600.88496100614,0,0,0,0,0,1.582003335709e-07,4.7697919942948e-07
3,611.80540040869,601.38764922699,601.49206446671,0,0,0,0,0,2.7654683685779e-07,8.422326872256e-07
4,617.74837901014,601.99914819731,602.14936820253,0,0,0,0,0,4.0821354348491e-07,1.2516569536585e-06
5,624.15292434721,602.63849078725,602.83657945163,0,0,0,0,0,5.48333231366e-07,1.689406661337e-06
6,630.86746008278,603.29454137921,603.54173735382,0,0,0,0,0,6.939791295503e-07,2.1458865837627e-06
7,637.79970692384,603.96064102333,604.25768932449,1.5693577664002e-10,0,67635.622510916,-1.7590462487823e-09,-1.6996047150372e-09,8.4340173997152e-07,2.6152620308917e-06
8,644.89360000124,604.63279051009,604.98013898969,2.0451837510474e-07,0,828568.04210494,-5.1293716529305e-09,-5.0976298460372e-09,9.9525307383369e-07,3.0948274696347e-06
9,652.11511958934,605.30867808616,605.70659434752,2.6348816926585e-06,0,2931776.0661981,1.3919017282571e-07,1.3160255918206e-07,1.1436710288465e-06,3.589575164678e-06
10,659.44364003157,605.98676288885,606.43540687461,1.0680652218768e-05,3.1142587988969e-06,4628312.5261361,2.8841801366393e-07,2.7317432217716e-07,1.2955938689045e-06,4.0898270342935e-06
11,666.86669524886,606.66613772448,607.16560320937,2.0952719109188e-05,2.2402817726242e-05,5044805.6354525,4.4391452323272e-07,4.1895594312491e-07,1.451776913508e-06,4.5894731618745e-06
12,674.3768124509,607.34625821683,607.89659859692,3.152720635396e-05,4.6892851481565e-05,5093785.7029631,6.0263906792268e-07,5.669044989761e-07,1.6103893741888e-06,5.0918860900901e-06
13,681.96958484736,608.02679973281,608.62804371713,4.241057634473e-05,7.142471533163e-05,5142849.4306633,7.624066581995e-07,7.158596288494e-07,1.7701025124513e-06,5.5986049954692e-06
14,689.64249157185,608.70755906458,609.35972026116,5.3608594412455e-05,9.5937808176867e-05,5191875.6163537,9.2320358565421e-07,8.6579694839067e-07,1.9308861472812e-06,6.1095124865524e-06
15,697.39417470367,609.38841095301,610.09149365828,6.5126665854287e-05,0.0001204015409146,5240803.0818292,1.0850296607987e-06,1.0167103758782e-06,2.0927272660028e-06,6.6245426662153e-06
16,705.22399529903,610.06927791804,610.82328066186,7.6969990988856e-05,0.00014479914098826,5289598.2819765,1.2478899541067e-06,1.1686014825476e-06,2.25562166619e-06,7.1436628011152e-06
17,713.13176043584,610.75011180107,611.55502952215,8.9143637060614e-05,0.00016912036382382,5338240.7276476,1.4117913902665e-06,1.3214749459508e-06,2.4195697831672e-06,7.6668613073126e-06
18,721.11755471542,611.43088247632,612.2867078602,0.00010165257173111,0.00019335817002746,5386716.3400549,1.576741349154e-06,1.4753365858306e-06,2.5845745249917e-06,8.1941399779935e-06
19,729.18163594914,612.11157093741,613.01829524146,0.00011450167841992,0.00021750717209175,5435014.3441835,1.7427471197758e-06,1.6301925248385e-06,2.7506401201974e-06,8.7255090216757e-06
20,737.32437038895,612.79216505292,613.74977861649,0.00012769576281297,0.0002415628840399,5483125.7680798,1.909815719891e-06,1.7860488488808e-06,2.9177714961082e-06,9.2609839250304e-06
