time,average_effective_creep,average_effective_plastic,average_vonmises_stress
0,0,0,0
0.03125,5.561647226254e-12,0,737144.35822567
0.09375,9.8091288585035e-11,1.1369642054869e-05,1227392.8410974
0.15625,3.3951513232806e-10,3.4452512682051e-05,1689050.253641
0.21875,9.8267018174396e-10,6.7027282251538e-05,2340545.6450308
0.28125,2.5461457391307e-09,0.0001073055065309,3146110.130618
0.34375,5.9502428397484e-09,0.00015383602892297,4076720.5784593
0.40625,7.4274055567148e-09,0.00015507792856777,2952453.0145217
0.46875,1.3244266708922e-08,0.00019354360926223,4763938.7424325
0.5,1.4714811633581e-08,0.00019439453884549,3574225.5131059
0.5625,2.0123683847453e-08,0.00020610224895678,4454454.0937259
0.625,3.5538584417608e-08,0.00027803607544334,6516870.3838234
0.6875,5.6597378565316e-08,0.000316211104736,6983730.9076884
0.75,7.9951472299588e-08,0.00033733704002313,6933267.1165363
0.8125,1.2780068389681e-07,0.00040422448863997,8845464.6842812
0.875,1.8688587315962e-07,0.00043686813173705,9046478.0775957
0.9375,2.5120261200872e-07,0.00046517896349074,9392219.6264541
1,3.1645696196597e-07,0.00047785139163509,9596452.2196668
1.0625,3.9476467179063e-07,0.00049107943101749,10225222.372112
1.125,4.8200932937673e-07,0.00050656723482733,10695955.645956
1.1875,5.6866031376926e-07,0.0005182199057158,10734922.492023
1.25,6.721907746343e-07,0.00054213516480923,11432238.756382
1.3125,7.8053178013113e-07,0.00055669932191417,11717639.507797
1.375,9.068992698308e-07,0.00058415437334321,12350917.276328
1.4375,1.0427634186348e-06,0.00060342776118562,12762520.10548
1.5,1.2042948585921e-06,0.0006386624795534,13524083.977133
1.5625,1.3861883531133e-06,0.00066910646676276,14098348.110489
1.625,1.6269753533932e-06,0.00072542236201321,15246508.248297
1.6875,1.9801636854016e-06,0.00082746882098409,16581945.690591
1.75,2.7309882205778e-06,0.00098063243549097,19956635.094787
1.8125,2.9558399660445e-06,0.00098673133870347,15257420.067721
1.875,3.1372768002653e-06,0.00099652487290601,13771489.49659
1.9375,3.2974965045058e-06,0.001001250865808,13046245.531126
2,3.5048904559949e-06,0.0010092007597151,14218814.004997
2.0625,3.7217881653173e-06,0.0010138920704693,14820983.438689
2.125,3.9851177624736e-06,0.0010232784052862,15771234.770039
2.1875,4.2597923970369e-06,0.0010287061850059,16362124.568871
2.25,4.5854926774281e-06,0.0010393564745188,17218693.798483
2.3125,4.9163501399671e-06,0.0010452262670428,17617623.566295
2.375,5.4474149545671e-06,0.0010837720917223,20551388.465597
2.4375,6.0262650612118e-06,0.0011425429403827,21089482.674195
2.5,6.6668399044523e-06,0.0011548415516224,21774440.625384
2.5625,7.1826721715673e-06,0.0011704364845593,19819684.739516
2.625,7.8318682520016e-06,0.0011932274109182,21872612.704752
2.6875,8.5932429469305e-06,0.0012051694487052,22929364.343619
2.75,9.9096074030761e-06,0.0013878610638881,25156704.962158
2.8125,1.0521415438216e-05,0.0013954908667199,21207404.117303
2.875,1.1116766918309e-05,0.001404703457398,20337137.769947
2.9375,1.1686830051126e-05,0.0014083591027317,20656971.089352
3,1.2294446156143e-05,0.0014108613745274,21118108.562865
3.0625,1.2941930967928e-05,0.0014137507598999,21654198.028755
3.125,1.3628840004097e-05,0.0014172726145409,22159437.60649
3.1875,1.4355867617539e-05,0.0014213289416747,22657034.369457
3.25,1.5123848254188e-05,0.0014258705871001,23143336.272826
3.3125,1.5934756001589e-05,0.0014307005911217,23625883.922523
3.375,1.6789087463041e-05,0.0014359080121187,24096278.104132
3.4375,1.7686264290597e-05,0.0014417396711575,24553511.718334
3.5,1.8624962582791e-05,0.0014481694280598,24978817.32176
3.5625,1.96077286339e-05,0.0014549631275292,25410626.905852
3.625,2.0636473579941e-05,0.0014620350463006,25839697.546046
3.6875,2.171168141146e-05,0.0014693922406893,26253825.683635
3.75,2.2834648901877e-05,0.0014771212508328,26669296.066584
3.8125,2.4007155464296e-05,0.0014850717082465,27081994.933734
3.875,2.5229307087946e-05,0.0014934442606353,27480836.531123
3.9375,2.6502972860463e-05,0.0015020373621091,27880151.068475
4,2.7828919798008e-05,0.0015107890351704,28270409.861201
4.0625,2.9211209937651e-05,0.0015197189087553,28675554.954251
4.125,3.065162719361e-05,0.0015286705042917,29077102.475089
4.1875,3.2155877271399e-05,0.0015379733193486,29500646.97565
4.25,3.3696123958832e-05,0.0015542903192746,29873697.344338
4.3125,3.5303703189825e-05,0.0015635456615315,30283054.880204
4.375,3.697356748231e-05,0.0015754296713884,30681454.33117
4.4375,3.8693477094662e-05,0.0015852631001089,30890787.571453
4.5,4.0495344019458e-05,0.0015959188317531,31449223.244553
4.5625,4.23565718008e-05,0.0016058519587472,31793534.285784
4.625,4.4272582828725e-05,0.0016157661081766,32107601.312321
4.6875,4.6237347780585e-05,0.0016255885654806,32390197.189875
4.75,4.8245745458686e-05,0.0016351206144086,32647972.783682
4.8125,5.0289299427251e-05,0.0016443851589935,32869723.479417
4.875,5.2370362101572e-05,0.0016532532697509,33093277.546452
4.9375,5.4487449815514e-05,0.0016617432953851,33305778.367249
5,5.6634089651695e-05,0.0016699573091168,33482810.684772
5.0625,5.8808265046848e-05,0.0016778235794219,33647453.504367
5.125,6.1009122448524e-05,0.0016852925467841,33807292.910947
5.1875,6.3234116972216e-05,0.0016923793788533,33955155.678262
5.25,6.5484229872314e-05,0.0016991075885759,34103630.395554
5.3125,6.7757587981587e-05,0.0017055112476212,34244407.802243
5.375,7.0209032629315e-05,0.0017220766186282,34801621.877495
5.4375,7.2703222735035e-05,0.0017274859786462,34948196.483787
5.5,7.5240400336191e-05,0.0017326221306461,35222550.263266
5.5625,7.7808188453481e-05,0.0017369372636927,35385521.924956
5.625,8.0400525133069e-05,0.0017410692487232,35521900.467195
5.6875,8.3013604130171e-05,0.0017449840797289,35640005.141168
5.75,8.564406780221e-05,0.0017487011129474,35741658.397182
5.8125,8.8289322816002e-05,0.0017521617040022,35832557.25881
5.875,9.0947082654706e-05,0.0017553665612195,35913119.160301
5.9375,9.3614335809562e-05,0.0017583719980647,35979985.209663
6,9.6289254823345e-05,0.0017611214363662,36038333.795067
