contact_pressure,id,nodal_area,penetration,x,y,z
6386884.5618584,8,3.1373467500214e-07,6.3868845618582e-06,0.00412,0,0
3284264.2943245,9,6.274702329048e-07,3.2842642943248e-06,0.00412,0.00125,0
6386884.5807841,10,3.1373467500214e-07,6.3868845807841e-06,0.00412,0,0.001
3284264.3175009,11,6.274702329048e-07,3.2842643175008e-06,0.00412,0.00125,0.001
678455.05755363,16,6.2747280023471e-07,6.7845505755369e-07,0.00412,0.0025,0
678455.13849229,17,6.2747280023471e-07,6.7845513849289e-07,0.00412,0.0025,0.001
0,22,6.2747665309368e-07,-3.1027676848089e-06,0.00412,0.00375,0
0,23,6.2747665309368e-07,-3.1027676909283e-06,0.00412,0.00375,0.001
0,28,3.1373941076163e-07,-7.8217392294139e-06,0.00412,0.005,0
0,29,3.1373941076163e-07,-7.8217392247656e-06,0.00412,0.005,0.001
