case,variable,count,max_absolute_error,max_absolute_reference,relative_peak_error
b37_quad4_contact,time_whole,1,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var1,40,0.0,300.0,0.0
b37_quad4_contact,vals_nod_var2,40,0.0,2e-06,0.0
b37_quad4_contact,vals_nod_var3,40,0.0,2e-06,0.0
b37_quad4_contact,vals_nod_var4,40,0.0,1.0998813986133892e-07,0.0
b37_quad4_contact,vals_nod_var5,4,0.0,8.323444255898694e-08,0.0
b37_quad4_contact,vals_nod_var6,4,0.0,83234.44255898695,0.0
b37_quad4_contact,vals_nod_var7,4,0.0,83.23444255898696,0.0
b37_quad4_contact,vals_nod_var8,4,0.0,8.323444255898696e-11,0.0
b37_quad4_contact,vals_nod_var9,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var10,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var11,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var12,4,0.0,2.500000113020225e-05,0.0
b37_quad4_contact,vals_nod_var13,4,0.0,2.0808610282771047,0.0
b37_quad4_contact,vals_nod_var14,4,0.0,83234.44255898695,0.0
b37_quad4_contact,vals_nod_var15,4,0.0,0.00999883470833653,0.0
b37_quad4_contact,vals_nod_var16,4,0.0,0.010001995983798738,0.0
b37_quad4_contact,vals_nod_var17,4,0.0,0.01000000046818247,0.0
b37_quad4_contact,vals_nod_var18,4,0.0,2.0808610143511914,0.0
b37_quad4_contact,vals_nod_var19,4,0.0,0.00024253444585695087,0.0
b37_quad4_contact,vals_nod_var20,4,0.0,3.151557685906237e-16,0.0
b37_quad4_contact,vals_nod_var21,4,0.0,2.425240182044219e-07,0.0
b37_quad4_contact,vals_nod_var22,4,0.0,0.0020807976799402162,0.0
b37_quad4_contact,vals_nod_var23,4,0.0,1.929297850674144e-05,0.0
b37_quad4_contact,vals_nod_var24,4,0.0,2.427867152150357e-10,0.0
b37_quad4_contact,vals_nod_var25,4,0.0,2.098551416437528e-06,0.0
b37_quad4_contact,vals_nod_var26,4,0.0,1.7483001245233388e-08,0.0
b37_quad4_contact,vals_nod_var27,4,0.0,9.700960289614993e-15,0.0
b37_quad4_contact,vals_nod_var28,4,0.0,8.323190862546794e-11,0.0
b37_quad4_contact,vals_nod_var29,4,0.0,7.71719105381711e-13,0.0
b37_quad4_contact,vals_nod_var30,4,0.0,0.002080861028277105,0.0
b37_quad4_contact,vals_nod_var31,4,0.0,8.324624501453992e-08,0.0
b37_quad4_contact,vals_nod_var32,4,0.0,83246.24501453993,0.0
b37_quad4_contact,vals_nod_var33,4,0.0,83.24624501453992,0.0
b37_quad4_contact,vals_nod_var34,4,0.0,8.324624501453993e-11,0.0
b37_quad4_contact,vals_nod_var35,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var36,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var37,4,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var38,4,0.0,2.5000001431515623e-05,0.0
b37_quad4_contact,vals_nod_var39,4,0.0,2.081156098229108,0.0
b37_quad4_contact,vals_nod_var40,4,0.0,83246.24501453993,0.0
b37_quad4_contact,vals_nod_var41,4,0.0,0.00999883502234473,0.0
b37_quad4_contact,vals_nod_var42,4,0.0,0.030001995613124756,0.0
b37_quad4_contact,vals_nod_var43,4,0.0,0.010000000629529307,0.0
b37_quad4_contact,vals_nod_var44,4,0.0,2.081156084198803,0.0
b37_quad4_contact,vals_nod_var45,4,0.0,1.1451350225100278e-06,0.0
b37_quad4_contact,vals_nod_var46,4,0.0,0.00024165511964515312,0.0
b37_quad4_contact,vals_nod_var47,4,0.0,1.2086320219862786e-08,0.0
b37_quad4_contact,vals_nod_var48,4,0.0,0.002078034974991037,0.0
b37_quad4_contact,vals_nod_var49,4,0.0,0.00011393571768380752,0.0
b37_quad4_contact,vals_nod_var50,4,0.0,1.1480135766243363e-11,0.0
b37_quad4_contact,vals_nod_var51,4,0.0,2.0077078534787467e-06,0.0
b37_quad4_contact,vals_nod_var52,4,0.0,1.082213183037223e-07,0.0
b37_quad4_contact,vals_nod_var53,4,0.0,4.834528150978335e-16,0.0
b37_quad4_contact,vals_nod_var54,4,0.0,8.312140008338934e-11,0.0
b37_quad4_contact,vals_nod_var55,4,0.0,4.557428766772663e-12,0.0
b37_quad4_contact,vals_nod_var56,4,0.0,0.002081156098229108,0.0
b37_quad4_contact,vals_nod_var57,40,0.0,9.704046296405892e-16,0.0
b37_quad4_contact,vals_nod_var58,40,0.0,2.7703642473181063,0.0
b37_quad4_contact,vals_nod_var59,40,0.0,0.5449187882293579,0.0
b37_quad4_contact,vals_nod_var60,40,0.0,0.545056761263119,0.0
b37_quad4_contact,vals_nod_var61,40,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var62,40,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var63,40,0.0,1.0,0.0
b37_quad4_contact,vals_nod_var64,40,0.0,1.0,0.0
b37_quad4_contact,vals_glo_var,7,0.0,8.322884921492179,0.0
b37_quad4_contact,vals_elem_var1eb1,2,0.0,88813.21234375623,0.0
b37_quad4_contact,vals_elem_var2eb1,2,0.0,12601.656687761515,0.0
b37_quad4_contact,vals_elem_var3eb1,2,0.0,7820.311344245107,0.0
b37_quad4_contact,vals_elem_var4eb1,2,0.0,10982.13198083724,0.0
b37_quad4_contact,vals_elem_var5eb1,2,0.0,646.6664211278865,0.0
b37_quad4_contact,vals_elem_var6eb1,2,0.0,699.8089497039978,0.0
