metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,0
algebraic_relative_residual,1.5733179523420808e-12
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,5.7059449916255907e-05
equilibrium_relative_residual,1.9437278065105764e-12
constraint_maximum_error,1.0288474807709499e-23
external_work,0.00011411889983275062
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.6983589729999999
assembly_seconds,8.6793632079999998
condensation_seconds,15.099665946000002
solve_and_refinement_seconds,1.8204553089999997
field_recovery_seconds,2.7203474730000003
