metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,1
algebraic_relative_residual,7.3698961858670593e-11
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,4.2735992319951661e-09
equilibrium_relative_residual,5.4747096297622236e-11
constraint_maximum_error,7.9197309985693693e-34
external_work,8.547198463989788e-09
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.716549251
assembly_seconds,8.7816948410000002
condensation_seconds,15.241610692999998
solve_and_refinement_seconds,3.5979176190000004
field_recovery_seconds,2.7324674859999973
