family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.0001364400403176312,2.5382196493151064e-05,2.8135902454979033e-05,0.01197177058249344
region,tip_194_200mm,0.0013709159843641782,8.045697542996495e-05,0.2876294916748123,0.03794834902758545
region,transition_6_30mm,0.21915045008580414,0.0010172541394037025,0.0033882500700708534,0.47979823906567876
region,interior_30_170mm,0.7793421938895141,0.001918325841539561,0.006190523357667554,0.9047978524465836
component,xx,0.13577485393537683,0.0008006965447880438,0.0028544775138795555,0.3776566517001076
component,yy,0.12853726603510604,0.0007790634171265437,0.0033877371546007957,0.36745316748174395
component,zz,0.03489640816496425,0.00040592766096494786,0.0004936035323923404,0.1914599010953142
component,xy,0.007087621465539516,0.00018293994310292002,0.001236063167262731,0.08628548084061698
component,yz,0.012250619937955011,0.0002405123133527931,0.000857339476956778,0.1134400735768221
component,xz,0.6814532304610583,0.0017938094583630957,0.005929285778298241,0.8460684365919422
