metric,value
mode_count,12
axial_nodes,193
poisson_relaxation_modes,3
automatic_distortion_modes,0
independent_shear_modes,2
independent_axial_warping_modes,3
shear_free_distortion_modes,0
transverse_corrector_modes,0
refinement_iterations,6
algebraic_relative_residual,1.680252049623982e-07
dof_count,1188
section_basis_size,12
recovered_local_dofs,79680
active_axial_dofs,1188
constraint_count,6
strain_energy,1.430339615657721e-06
equilibrium_relative_residual,7.4061709094647642e-08
constraint_maximum_error,9.8065800634553888e-37
external_work,2.8606792313154293e-06
global_constraint_count,0
global_system_size,1188
local_system_size,79686
section_preprocessing_seconds,0.40384264199999997
assembly_seconds,2.5290706270000003
condensation_seconds,3.2344026449999999
solve_and_refinement_seconds,0.76466399499999937
field_recovery_seconds,0.35231702100000017
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,5
last_refinement_relative_residual,7.5198952289997567e-08
width_enrichment_modes,0
solid_displacement_dofs,79680
solid_elements,5120
modal_elements,32
solid_lower_interface,0.025000000000000001
solid_upper_interface,0.19375000000000001
