family,name,squared_error_share,error_over_global_reference,relative_L2,absolute_weighted_error
region,root_0_6mm,0.00020454963399021525,1.4645395401110955e-05,2.2705337815602084e-05,0.05375047375218394
region,tip_194_200mm,3.5536485921167367e-17,6.104343835945648e-12,4.572975289768509e-11,2.2403722408437862e-08
region,transition_6_30mm,0.9408740737618254,0.0009932704121949191,0.0025601080650667902,3.6454294170476276
region,interior_30_170mm,0.05892137660418422,0.00024856397786049623,0.0003855665592532044,0.9122615813237483
component,xx,0.4277711655548668,0.000669741948888429,0.0038962491519500984,2.4580385888204326
component,yy,0.26747202589637664,0.0005295914092737312,0.0026610408739449645,1.9436681881180524
component,zz,0.10752144896201571,0.000335775730174828,0.00037171731044221597,1.2323398636279506
component,xy,3.256400507429937e-05,5.843467795556028e-06,0.00011510458878262385,0.021446273983353196
component,yz,0.16851156724419047,0.0004203553768343338,0.0018750769270380163,1.5427579816253585
component,xz,0.028691228337475966,0.0001734508046591121,0.0006963541495585839,0.6365866313460932
