metric,value
mode_count,12
axial_nodes,193
poisson_relaxation_modes,3
automatic_distortion_modes,0
independent_shear_modes,2
independent_axial_warping_modes,3
shear_free_distortion_modes,0
transverse_corrector_modes,0
refinement_iterations,6
algebraic_relative_residual,1.6409965145671193e-07
dof_count,1188
section_basis_size,12
recovered_local_dofs,79680
active_axial_dofs,1188
constraint_count,6
strain_energy,1.4303396156577261e-06
equilibrium_relative_residual,6.4779594370508687e-08
constraint_maximum_error,4.9318303598810539e-37
external_work,2.8606792313154301e-06
global_constraint_count,0
global_system_size,1188
local_system_size,79686
section_preprocessing_seconds,0.48691023100000003
assembly_seconds,2.3456149480000001
condensation_seconds,6.6719427640000006
solve_and_refinement_seconds,1.0930130400000007
field_recovery_seconds,0.76014138099999862
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,2
last_refinement_relative_residual,7.9252392777842948e-08
width_enrichment_modes,0
solid_displacement_dofs,79680
solid_elements,5120
modal_elements,32
solid_lower_interface,0.025000000000000001
solid_upper_interface,0.19375000000000001
