metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,6
algebraic_relative_residual,1.4765913987733339e-08
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,3.3780136186582023e-07
equilibrium_relative_residual,3.8930437457942552e-09
constraint_maximum_error,2.2520258266190383e-38
external_work,6.7560272373164034e-07
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.6854792359999999
assembly_seconds,1.3843456590000001
condensation_seconds,1.6087662180000004
solve_and_refinement_seconds,2.2950963209999999
field_recovery_seconds,0.43514255699999982
width_line_count,0
seed_mode_count,12
selected_refinement_iteration,6
last_refinement_relative_residual,3.8930437457942552e-09
width_enrichment_modes,0
solid_displacement_dofs,0
solid_elements,0
modal_elements,72
solid_lower_interface,0
solid_upper_interface,0.20000000000000001
