metric,value
mode_count,12
axial_nodes,73
poisson_relaxation_modes,41
automatic_distortion_modes,43
independent_shear_modes,2
independent_axial_warping_modes,116
shear_free_distortion_modes,38
transverse_corrector_modes,44
refinement_iterations,6
algebraic_relative_residual,1.6483021209985684e-08
dof_count,1044
section_basis_size,288
recovered_local_dofs,32256
active_axial_dofs,33300
constraint_count,290
strain_energy,3.3780136186582065e-07
equilibrium_relative_residual,7.3511296674626057e-09
constraint_maximum_error,2.4890641326986648e-38
external_work,6.7560272373164087e-07
global_constraint_count,0
global_system_size,1044
local_system_size,32546
section_preprocessing_seconds,2.5886778860000002
assembly_seconds,1.3557679439999997
condensation_seconds,1.977934549
solve_and_refinement_seconds,2.2711852230000007
field_recovery_seconds,1.3327946829999995
