time,element,point,x,y,z,qx,qy,qz
1.0,1,1,0.0011107837,0.0011422405,0.0011353352,33697.3,144.81725,79.877266
1.0,1,2,0.0049413,0.001194557,0.0011639219,33713.203,404.73346,217.88232
1.0,1,3,0.008792448,0.0012468735,0.0011925086,33735.28,307.75607,151.2927
1.0,1,4,0.0011372906,0.0050283186,0.0011397002,34246.445,205.20412,119.55521
1.0,1,5,0.0050371517,0.0051256353,0.0011832868,33895.355,681.1337,343.81165
1.0,1,6,0.008923955,0.0052229515,0.0012268735,33553.902,806.4456,282.98312
1.0,1,7,0.0011637976,0.008914397,0.001144065,34984.938,264.30035,158.42793
1.0,1,8,0.005133003,0.009056713,0.0012026518,34282.836,952.5431,466.5923
1.0,1,9,0.009055462,0.00919903,0.0012612385,33581.88,1298.2494,410.21677
1.0,1,10,0.0011259306,0.0011466054,0.005017048,34014.027,184.45915,121.19859
1.0,1,11,0.0049960725,0.0012139219,0.005075635,33816.867,530.5319,403.36105
1.0,1,12,0.008867594,0.0012812384,0.0051342216,33630.51,439.8485,482.43628
1.0,1,13,0.0011524374,0.0050326833,0.0050214133,34677.336,244.00017,160.37848
1.0,1,14,0.0050919238,0.005145,0.005095,34037.906,805.69086,528.5164
1.0,1,15,0.008999102,0.0052573164,0.0051685865,33405.55,939.4549,614.53467
1.0,1,16,0.0011789444,0.008918761,0.0050257784,35522.62,302.30078,198.78186
1.0,1,17,0.0051877755,0.009076078,0.005114365,34461.54,1075.9253,650.561
1.0,1,18,0.009130608,0.009233395,0.0052029514,33389.59,1432.1871,742.18286
1.0,1,19,0.0011410774,0.0011509703,0.008898761,34466.91,223.1195,161.98973
1.0,1,20,0.0050508445,0.0012332868,0.0089873485,34060.92,652.68243,586.8921
1.0,1,21,0.008942742,0.0013156034,0.009075935,33666.703,566.89014,810.9365
1.0,1,22,0.0011675842,0.0050370484,0.008903126,35238.49,281.8548,200.69452
1.0,1,23,0.005146696,0.005164365,0.0090067135,34318.277,926.6625,711.30914
1.0,1,24,0.009074248,0.0052916813,0.0091103,33397.59,1067.4321,943.4535
1.0,1,25,0.0011940912,0.008923126,0.008907491,36185.1,339.39703,238.64984
1.0,1,26,0.0052425475,0.009095443,0.0090260785,34775.605,1195.7819,832.65186
1.0,1,27,0.009205756,0.0092677595,0.009144665,33337.137,1561.1113,1071.5267
1.0,2,1,0.011046481,0.0012773211,0.0012091458,32958.9,275.69748,131.21773
1.0,2,2,0.0149413,0.0013296376,0.0012377324,32984.2,376.47244,205.56906
1.0,2,3,0.01885675,0.0013819542,0.0012663191,33015.31,133.30139,75.15838
1.0,2,4,0.011177988,0.0052795885,0.0012522405,33126.016,754.1104,255.97453
1.0,2,5,0.015037152,0.005376905,0.0012958271,32788.918,649.88727,317.77582
1.0,2,6,0.018883258,0.005474222,0.0013394138,32461.436,196.54163,110.22544
1.0,2,7,0.011309495,0.009281856,0.0012953352,33061.934,1240.1018,382.43283
1.0,2,8,0.015133003,0.009424173,0.001353922,32357.576,928.8684,431.68625
1.0,2,9,0.018909764,0.00956649,0.0014125085,31654.41,261.41095,145.89108
1.0,2,10,0.011121628,0.0013204159,0.0051683187,33066.45,400.80762,453.24698
1.0,2,11,0.014996072,0.0013877325,0.0052269055,32875.863,488.5336,387.42935
1.0,2,12,0.018871898,0.0014550489,0.0052854917,32695.6,168.20578,116.446724
1.0,2,13,0.011253135,0.0053226836,0.0052114134,33241.55,876.40234,576.1053
1.0,2,14,0.015091924,0.005435,0.005285,32622.982,761.87994,499.43384
1.0,2,15,0.018898403,0.0055473167,0.0053585866,32011.436,231.9653,151.77295
1.0,2,16,0.011384642,0.009324951,0.005254508,33186.098,1359.5546,700.65314
1.0,2,17,0.015187776,0.009482267,0.005343095,32131.713,1040.8472,613.17316
1.0,2,18,0.01892491,0.009639584,0.0054316814,31065.873,297.40677,187.72786
1.0,2,19,0.011196774,0.0013635106,0.009127491,33022.906,529.0934,778.1095
1.0,2,20,0.015050844,0.0014458272,0.009216079,32615.762,603.17975,571.33575
1.0,2,21,0.018887045,0.0015281436,0.009304665,32219.768,203.89273,158.3092
1.0,2,22,0.011328282,0.005365778,0.009170586,33206.105,1001.86646,899.0673
1.0,2,23,0.015146696,0.0054930947,0.009274173,32303.04,876.51025,683.16797
1.0,2,24,0.01891355,0.005620411,0.00937776,31399.084,268.2115,193.91734
1.0,2,25,0.011459788,0.009368046,0.009213681,33159.395,1482.1758,1021.70264
1.0,2,26,0.015242548,0.009540362,0.009332268,31749.5,1155.5186,796.7675
1.0,2,27,0.018940058,0.009712679,0.009450855,30308.238,334.26834,230.18617
