time,element,point,x,y,z,qx,qy,qz
2.0,1,1,0.0010566243,0.0021132487,0.0021132487,80891.07,-0.0,-4.1806822e-13
2.0,1,2,0.003943376,0.0021132487,0.0021132487,76526.05,-3.9550852e-13,-7.9101705e-13
2.0,1,3,0.0010566243,0.007886752,0.0021132487,80891.07,-0.0,1.6722729e-12
2.0,1,4,0.003943376,0.007886752,0.0021132487,76526.05,-3.9550852e-13,-1.9775427e-12
2.0,1,5,0.0010566243,0.0021132487,0.007886752,80891.07,-0.0,-4.1806822e-13
2.0,1,6,0.003943376,0.0021132487,0.007886752,76526.05,-3.9550852e-13,-2.5708053e-12
2.0,1,7,0.0010566243,0.007886752,0.007886752,80891.07,-0.0,-0.0
2.0,1,8,0.003943376,0.007886752,0.007886752,76526.05,-3.9550852e-13,-2.7685597e-12
2.0,2,1,0.0060566245,0.0021132487,0.0021132487,48469.285,-3.818338e-12,3.818338e-13
2.0,2,2,0.008943376,0.0021132487,0.0021132487,46590.555,-4.587918e-13,5.872535e-12
2.0,2,3,0.0060566245,0.007886752,0.0021132487,48469.285,-3.818338e-12,-3.0546704e-12
2.0,2,4,0.008943376,0.007886752,0.0021132487,46590.555,-4.587918e-13,-6.606602e-12
2.0,2,5,0.0060566245,0.0021132487,0.007886752,48469.285,-3.0546704e-12,3.818338e-13
2.0,2,6,0.008943376,0.0021132487,0.007886752,46590.555,-1.1011003e-12,5.04671e-12
2.0,2,7,0.0060566245,0.007886752,0.007886752,48469.285,-1.5273352e-12,-3.0546704e-12
2.0,2,8,0.008943376,0.007886752,0.007886752,46590.555,-0.0,-6.2395688e-12
2.0,3,1,0.011056624,0.0021132487,0.0021132487,26853.043,3.2257688e-12,3.0465595e-12
2.0,3,2,0.013943376,0.0021132487,0.0021132487,26198.58,4.371042e-13,-8.742084e-14
2.0,3,3,0.011056624,0.007886752,0.0021132487,26853.043,3.2257688e-12,-2.8673502e-12
2.0,3,4,0.013943376,0.007886752,0.0021132487,26198.58,3.0597294e-13,3.4968336e-13
2.0,3,5,0.011056624,0.0021132487,0.007886752,26853.043,1.4336751e-12,2.6881407e-12
