time,element,point,x,y,z,qx,qy,qz
1.0,1,1,0.0111270165,0.0011270166,0.0,54519.223,-9.094947e-12,0.0
1.0,1,2,0.015,0.0011270166,0.0,43331.164,-1.1368684e-10,0.0
1.0,1,3,0.018872984,0.0011270166,0.0,32143.105,-2.59206e-10,0.0
1.0,1,4,0.0111270165,0.005,0.0,54519.223,2.2737368e-11,0.0
1.0,1,5,0.015,0.005,0.0,43331.164,5.684342e-11,0.0
1.0,1,6,0.018872984,0.005,0.0,32143.105,2.3305802e-11,0.0
1.0,1,7,0.0111270165,0.008872983,0.0,54519.223,3.6379788e-11,0.0
1.0,1,8,0.015,0.008872983,0.0,43331.164,2.2737368e-10,0.0
1.0,1,9,0.018872984,0.008872983,0.0,32143.105,3.3310243e-10,0.0
1.0,2,1,0.021127017,0.0011270166,0.0,29305.045,-4.5474735e-11,0.0
1.0,2,2,0.025,0.0011270166,0.0,25374.105,-1.2278178e-10,0.0
1.0,2,3,0.028872984,0.0011270166,0.0,21443.166,-3.7516656e-11,0.0
1.0,2,4,0.021127017,0.005,0.0,29305.045,1.5916157e-11,0.0
1.0,2,5,0.025,0.005,0.0,25374.105,-5.684342e-11,0.0
1.0,2,6,0.028872984,0.005,0.0,21443.166,-2.7995384e-11,0.0
1.0,2,7,0.021127017,0.008872983,0.0,29305.045,9.094947e-11,0.0
1.0,2,8,0.025,0.008872983,0.0,25374.105,-6.8212103e-12,0.0
1.0,2,9,0.028872984,0.008872983,0.0,21443.166,-1.5916157e-11,0.0
