time,element,point,x,y,z,qx,qy,qz
2.0,1,1,0.0111270165,0.0011270166,0.0,80202.76,-9.094947e-12,0.0
2.0,1,2,0.015,0.0011270166,0.0,54890.793,-3.6379788e-11,0.0
2.0,1,3,0.018872984,0.0011270166,0.0,29578.824,-2.046363e-11,0.0
2.0,1,4,0.0111270165,0.005,0.0,80202.76,-6.8212103e-12,0.0
2.0,1,5,0.015,0.005,0.0,54890.793,-0.0,0.0
2.0,1,6,0.018872984,0.005,0.0,29578.824,3.7516656e-11,0.0
2.0,1,7,0.0111270165,0.008872983,0.0,80202.76,-2.7284841e-11,0.0
2.0,1,8,0.015,0.008872983,0.0,54890.793,4.5474735e-11,0.0
2.0,1,9,0.018872984,0.008872983,0.0,29578.824,1.15960574e-10,0.0
2.0,2,1,0.021127017,0.0011270166,0.0,23262.898,9.094947e-12,0.0
2.0,2,2,0.025,0.0011270166,0.0,18820.086,-1.5916157e-11,0.0
2.0,2,3,0.028872984,0.0011270166,0.0,14377.274,-5.684342e-13,0.0
2.0,2,4,0.021127017,0.005,0.0,23262.898,-0.0,0.0
2.0,2,5,0.025,0.005,0.0,18820.086,-0.0,0.0
2.0,2,6,0.028872984,0.005,0.0,14377.274,-4.2632564e-13,0.0
2.0,2,7,0.021127017,0.008872983,0.0,23262.898,-0.0,0.0
2.0,2,8,0.025,0.008872983,0.0,18820.086,4.5474735e-12,0.0
2.0,2,9,0.028872984,0.008872983,0.0,14377.274,2.842171e-12,0.0
4.0,1,1,0.0111270165,0.0011270166,0.0,58588.95,-2.7284841e-11,0.0
4.0,1,2,0.015,0.0011270166,0.0,45300.71,-5.002221e-11,0.0
4.0,1,3,0.018872984,0.0011270166,0.0,32012.47,1.4779289e-11,0.0
4.0,1,4,0.0111270165,0.005,0.0,58588.95,-2.5011104e-11,0.0
4.0,1,5,0.015,0.005,0.0,45300.71,-5.684342e-11,0.0
4.0,1,6,0.018872984,0.005,0.0,32012.47,-2.1884716e-11,0.0
4.0,1,7,0.0111270165,0.008872983,0.0,58588.95,-4.5474735e-11,0.0
4.0,1,8,0.015,0.008872983,0.0,45300.71,-5.9117156e-11,0.0
4.0,1,9,0.018872984,0.008872983,0.0,32012.47,-2.6147973e-11,0.0
4.0,2,1,0.021127017,0.0011270166,0.0,28296.812,3.1832315e-11,0.0
4.0,2,2,0.025,0.0011270166,0.0,24069.318,-3.1832315e-11,0.0
4.0,2,3,0.028872984,0.0011270166,0.0,19841.826,-5.1159077e-12,0.0
4.0,2,4,0.021127017,0.005,0.0,28296.812,-6.139089e-11,0.0
4.0,2,5,0.025,0.005,0.0,24069.318,-5.684342e-11,0.0
4.0,2,6,0.028872984,0.005,0.0,19841.826,-1.8189894e-11,0.0
4.0,2,7,0.021127017,0.008872983,0.0,28296.812,-1.4097168e-10,0.0
4.0,2,8,0.025,0.008872983,0.0,24069.318,-9.322321e-11,0.0
4.0,2,9,0.028872984,0.008872983,0.0,19841.826,-2.9558578e-11,0.0
6.0,1,1,0.0111270165,0.0011270166,0.0,55201.418,-2.7284841e-11,0.0
6.0,1,2,0.015,0.0011270166,0.0,43669.68,-1.2732926e-10,0.0
6.0,1,3,0.018872984,0.0011270166,0.0,32137.94,-2.2055247e-10,0.0
6.0,1,4,0.0111270165,0.005,0.0,55201.418,4.5474735e-12,0.0
6.0,1,5,0.015,0.005,0.0,43669.68,-0.0,0.0
6.0,1,6,0.018872984,0.005,0.0,32137.94,-3.8653525e-11,0.0
6.0,1,7,0.0111270165,0.008872983,0.0,55201.418,9.094947e-12,0.0
6.0,1,8,0.015,0.008872983,0.0,43669.68,1.2278178e-10,0.0
6.0,1,9,0.018872984,0.008872983,0.0,32137.94,1.9440449e-10,0.0
6.0,2,1,0.021127017,0.0011270166,0.0,29135.57,-9.094947e-12,0.0
6.0,2,2,0.025,0.0011270166,0.0,25132.127,-9.094947e-12,0.0
