time,element,point,x,y,z,qx,qy,qz
2.0,1,1,0.01055752,0.0011339935,0.0,91202.64,160.43526,0.0
2.0,1,2,0.012474913,0.0011579692,0.0,73564.055,474.60284,0.0
2.0,1,3,0.014394598,0.0011819451,0.0,55972.703,376.3458,0.0
2.0,1,4,0.010569902,0.005013524,0.0,92334.48,231.14857,0.0
2.0,1,5,0.012526788,0.00506,0.0,73577.19,802.27234,0.0
2.0,1,6,0.014481226,0.0051064757,0.0,54782.234,981.07916,0.0
2.0,1,7,0.010582284,0.008893055,0.0,93912.84,300.43668,0.0
2.0,1,8,0.0125786625,0.0089620305,0.0,74079.9,1123.4332,0.0
2.0,1,9,0.014567855,0.009031006,0.0,54116.34,1574.2332,0.0
2.0,2,1,0.015513146,0.0011958987,0.0,47892.902,254.94748,0.0
2.0,2,2,0.017439436,0.0012198745,0.0,38442.97,281.74326,0.0
2.0,2,3,0.019371256,0.0012438503,0.0,29046.557,350.67493,0.0
2.0,2,4,0.015617286,0.005133524,0.0,47169.26,878.3005,0.0
2.0,2,5,0.017564671,0.00518,0.0,37792.086,747.4789,0.0
2.0,2,6,0.01950615,0.0052264757,0.0,28356.678,661.9281,0.0
2.0,2,7,0.015721425,0.00907115,0.0,46139.062,1509.7611,0.0
2.0,2,8,0.017689908,0.0091401255,0.0,36825.902,1223.1859,0.0
2.0,2,9,0.019641044,0.009209101,0.0,27344.71,984.0905,0.0
2.0,3,1,0.020498274,0.001257804,0.0,25131.887,314.06503,0.0
2.0,3,2,0.022439435,0.0012817797,0.0,19558.184,236.26523,0.0
2.0,3,3,0.02438613,0.0013057556,0.0,14015.566,203.00229,0.0
2.0,3,4,0.020633167,0.005253524,0.0,24451.541,566.524,0.0
2.0,3,5,0.022564672,0.0053,0.0,19048.576,437.40454,0.0
2.0,3,6,0.024490269,0.0053464756,0.0,13611.284,354.93613,0.0
2.0,3,7,0.02076806,0.009249245,0.0,23673.02,822.29724,0.0
2.0,3,8,0.022689907,0.00931822,0.0,18435.725,641.76166,0.0
2.0,3,9,0.024594408,0.009387196,0.0,13100.826,509.60635,0.0
2.0,4,1,0.025521616,0.0013197092,0.0,11501.641,171.97752,0.0
2.0,4,2,0.027474914,0.0013436851,0.0,7719.404,137.04745,0.0
2.0,4,3,0.029430503,0.0013676608,0.0,3945.6233,135.00685,0.0
2.0,4,4,0.025608243,0.005373524,0.0,11180.194,299.39655,0.0
2.0,4,5,0.027526788,0.00542,0.0,7550.885,231.32883,0.0
2.0,4,6,0.029442886,0.0054664756,0.0,3911.4287,199.1459,0.0
2.0,4,7,0.025694871,0.009427339,0.0,10784.692,428.39807,0.0
2.0,4,8,0.027578663,0.009496315,0.0,7313.264,326.48956,0.0
2.0,4,9,0.029455269,0.009565291,0.0,3813.7695,263.47668,0.0
4.0,1,1,0.01055752,0.0011339935,0.0,50847.707,107.787865,0.0
4.0,1,2,0.012474913,0.0011579692,0.0,43522.23,319.91373,0.0
4.0,1,3,0.014394598,0.0011819451,0.0,36217.508,269.32297,0.0
4.0,1,4,0.010569902,0.005013524,0.0,51635.06,155.04472,0.0
4.0,1,5,0.012526788,0.00506,0.0,43661.363,537.5942,0.0
4.0,1,6,0.014481226,0.0051064757,0.0,35673.67,668.67126,0.0
4.0,1,7,0.010582284,0.008893055,0.0,52720.19,201.35117,0.0
4.0,1,8,0.0125786625,0.0089620305,0.0,44123.51,750.98035,0.0
4.0,1,9,0.014567855,0.009031006,0.0,35472.96,1060.4457,0.0
4.0,2,1,0.015513146,0.0011958987,0.0,32722.021,205.72676,0.0
4.0,2,2,0.017439436,0.0012198745,0.0,27786.037,242.43896,0.0
4.0,2,3,0.019371256,0.0012438503,0.0,22878.34,274.3981,0.0
4.0,2,4,0.015617286,0.005133524,0.0,32411.072,624.118,0.0
4.0,2,5,0.017564671,0.00518,0.0,27458.842,575.45966,0.0
4.0,2,6,0.01950615,0.0052264757,0.0,22476.49,524.1769,0.0
4.0,2,7,0.015721425,0.00907115,0.0,31928.3,1047.0535,0.0
4.0,2,8,0.017689908,0.0091401255,0.0,26956.852,914.0081,0.0
4.0,2,9,0.019641044,0.009209101,0.0,21896.643,779.98444,0.0
4.0,3,1,0.020498274,0.001257804,0.0,20495.146,253.34627,0.0
4.0,3,2,0.022439435,0.0012817797,0.0,16872.87,211.32158,0.0
4.0,3,3,0.02438613,0.0013057556,0.0,13270.933,187.11818,0.0
4.0,3,4,0.020633167,0.005253524,0.0,20078.889,469.4709,0.0
4.0,3,5,0.022564672,0.0053,0.0,16544.494,392.55972,0.0
4.0,3,6,0.024490269,0.0053464756,0.0,12987.919,334.69336,0.0
4.0,3,7,0.02076806,0.009249245,0.0,19593.502,687.92926,0.0
4.0,3,8,0.022689907,0.00931822,0.0,16143.618,576.05743,0.0
4.0,3,9,0.024594408,0.009387196,0.0,12629.873,484.2023,0.0
4.0,4,1,0.025521616,0.0013197092,0.0,11448.281,165.64456,0.0
4.0,4,2,0.027474914,0.0013436851,0.0,8648.683,141.77284,0.0
4.0,4,3,0.029430503,0.0013676608,0.0,5855.373,139.82126,0.0
4.0,4,4,0.025608243,0.005373524,0.0,11216.505,295.8497,0.0
4.0,4,5,0.027526788,0.00542,0.0,8524.947,247.60506,0.0
4.0,4,6,0.029442886,0.0054664756,0.0,5825.9272,223.40369,0.0
4.0,4,7,0.025694871,0.009427339,0.0,10929.777,427.22913,0.0
4.0,4,8,0.027578663,0.009496315,0.0,8349.751,354.09216,0.0
4.0,4,9,0.029455269,0.009565291,0.0,5748.965,307.12967,0.0
6.0,1,1,0.01055752,0.0011339935,0.0,36069.797,77.096924,0.0
6.0,1,2,0.012474913,0.0011579692,0.0,31114.244,230.6236,0.0
6.0,1,3,0.014394598,0.0011819451,0.0,26172.816,199.79253,0.0
6.0,1,4,0.010569902,0.005013524,0.0,36637.785,111.56875,0.0
6.0,1,5,0.012526788,0.00506,0.0,31230.367,389.1281,0.0
6.0,1,6,0.014481226,0.0051064757,0.0,25813.602,490.1145,0.0
6.0,1,7,0.010582284,0.008893055,0.0,37423.125,145.34686,0.0
6.0,1,8,0.0125786625,0.0089620305,0.0,31581.443,544.50916,0.0
6.0,1,9,0.014567855,0.009031006,0.0,25703.344,774.94116,0.0
6.0,2,1,0.015513146,0.0011958987,0.0,23918.898,156.91061,0.0
6.0,2,2,0.017439436,0.0012198745,0.0,20752.17,186.579,0.0
6.0,2,3,0.019371256,0.0012438503,0.0,17603.61,211.82492,0.0
6.0,2,4,0.015617286,0.005133524,0.0,23730.879,462.6972,0.0
6.0,2,5,0.017564671,0.00518,0.0,20551.06,436.04315,0.0
6.0,2,6,0.01950615,0.0052264757,0.0,17351.934,406.39572,0.0
6.0,2,7,0.015721425,0.00907115,0.0,23428.73,771.50226,0.0
6.0,2,8,0.017689908,0.0091401255,0.0,20234.092,689.17126,0.0
6.0,2,9,0.019641044,0.009209101,0.0,16982.459,604.9564,0.0
6.0,3,1,0.020498274,0.001257804,0.0,16093.258,199.25043,0.0
