time,element,point,x,y,z,qx,qy,qz
1.0,1,1,0.0005635083,0.0011270166,0.0011270166,62462.043,-2.0302997e-11,-2.8762579e-11
1.0,1,2,0.0025,0.0011270166,0.0011270166,62527.156,-1.0363709e-10,-1.0363709e-10
1.0,1,3,0.0044364915,0.0011270166,0.0011270166,62436.48,-1.7923897e-10,-1.6995766e-10
1.0,1,4,0.0005635083,0.005,0.0011270166,62462.043,3.383833e-12,-0.0
1.0,1,5,0.0025,0.005,0.0011270166,62527.156,1.6450332e-11,-3.125563e-11
1.0,1,6,0.0044364915,0.005,0.0011270166,62436.48,2.834291e-11,-3.9919592e-11
1.0,1,7,0.0005635083,0.008872983,0.0011270166,62462.043,2.6224705e-11,6.767666e-12
1.0,1,8,0.0025,0.008872983,0.0011270166,62527.156,1.3119139e-10,-3.2900664e-12
1.0,1,9,0.0044364915,0.008872983,0.0011270166,62436.48,2.2953765e-10,1.27742695e-11
1.0,1,10,0.0005635083,0.0011270166,0.005,62462.043,-8.459582e-12,3.8811706e-12
1.0,1,11,0.0025,0.0011270166,0.005,62527.156,-2.632053e-11,1.5772411e-11
1.0,1,12,0.0044364915,0.0011270166,0.005,62436.48,-4.1316776e-11,2.7097014e-11
1.0,1,13,0.0005635083,0.005,0.005,62462.043,1.01514986e-11,1.1843415e-11
1.0,1,14,0.0025,0.005,0.005,62527.156,4.112583e-11,4.3060056e-11
1.0,1,15,0.0044364915,0.005,0.005,62436.48,7.045808e-11,6.9859285e-11
1.0,1,16,0.0005635083,0.008872983,0.005,62462.043,2.7070663e-11,4.229791e-12
1.0,1,17,0.0025,0.008872983,0.005,62527.156,1.08572186e-10,1.6450332e-11
1.0,1,18,0.0044364915,0.008872983,0.005,62436.48,1.9041646e-10,2.6387486e-11
1.0,1,19,0.0005635083,0.0011270166,0.008872983,62462.043,4.229791e-12,2.791662e-11
1.0,1,20,0.0025,0.0011270166,0.008872983,62527.156,-2.878808e-12,1.2995761e-10
1.0,1,21,0.0044364915,0.0011270166,0.008872983,62436.48,9.081708e-12,2.152664e-10
1.0,1,22,0.0005635083,0.005,0.008872983,62462.043,4.229791e-12,2.7070663e-11
1.0,1,23,0.0025,0.005,0.008872983,62527.156,1.6450332e-11,1.0363709e-10
1.0,1,24,0.0044364915,0.005,0.008872983,62436.48,2.834291e-11,1.8442851e-10
1.0,1,25,0.0005635083,0.008872983,0.008872983,62462.043,4.229791e-12,6.767666e-12
1.0,1,26,0.0025,0.008872983,0.008872983,62527.156,2.7965564e-11,2.96106e-11
1.0,1,27,0.0044364915,0.008872983,0.008872983,62436.48,5.498924e-11,5.9879386e-11
1.0,2,1,0.0055635083,0.0011270166,0.0011270166,62421.734,-1.7248712e-10,-1.7875938e-10
1.0,2,2,0.0075,0.0011270166,0.0011270166,62536.734,-1.3201103e-10,-6.7522876e-11
1.0,2,3,0.009436492,0.0011270166,0.0011270166,62434.215,-4.2116224e-11,-5.777247e-11
1.0,2,4,0.0055635083,0.005,0.0011270166,62421.734,2.8225165e-11,-7.5267105e-11
1.0,2,5,0.0075,0.005,0.0011270166,62536.734,1.517368e-11,-5.1590513e-11
1.0,2,6,0.009436492,0.005,0.0011270166,62434.215,3.4791662e-12,-2.7467102e-11
1.0,2,7,0.0055635083,0.008872983,0.0011270166,62421.734,2.156089e-10,1.25445175e-11
1.0,2,8,0.0075,0.008872983,0.0011270166,62536.734,1.1949274e-10,-4.5521042e-11
1.0,2,9,0.009436492,0.008872983,0.0011270166,62434.215,4.5961616e-11,3.0030697e-11
1.0,2,10,0.0055635083,0.0011270166,0.005,62421.734,-5.33142e-11,2.6990517e-11
1.0,2,11,0.0075,0.0011270166,0.005,62536.734,-2.4277889e-11,1.517368e-11
1.0,2,12,0.009436492,0.0011270166,0.005,62434.215,-3.6256574e-11,3.0329446e-12
1.0,2,13,0.0055635083,0.005,0.005,62421.734,7.5267105e-11,6.092013e-11
1.0,2,14,0.0075,0.005,0.005,62536.734,3.4899465e-11,4.6070498e-11
1.0,2,15,0.009436492,0.005,0.005,62434.215,9.888157e-12,7.846531e-12
1.0,2,16,0.0055635083,0.008872983,0.005,62421.734,1.913039e-10,3.1194585e-11
1.0,2,17,0.0075,0.008872983,0.005,62536.734,1.0166366e-10,1.517368e-11
1.0,2,18,0.009436492,0.008872983,0.005,62434.215,2.5635962e-11,2.128938e-12
1.0,2,19,0.0055635083,0.0011270166,0.008872983,62421.734,-2.9009198e-11,2.1090471e-10
1.0,2,20,0.0075,0.0011270166,0.008872983,62536.734,-3.9830913e-11,1.4225325e-10
1.0,2,21,0.009436492,0.0011270166,0.008872983,62434.215,-1.19939675e-11,1.5747806e-11
1.0,2,22,0.0055635083,0.005,0.008872983,62421.734,2.66571e-11,1.9444002e-10
1.0,2,23,0.0075,0.005,0.008872983,62536.734,1.517368e-11,1.2442418e-10
1.0,2,24,0.009436492,0.005,0.008872983,62434.215,3.66228e-12,9.045832e-11
1.0,2,25,0.0055635083,0.008872983,0.008872983,62421.734,5.5666298e-11,7.5267105e-11
1.0,2,26,0.0075,0.008872983,0.008872983,62536.734,5.045249e-11,3.3382096e-11
1.0,2,27,0.009436492,0.008872983,0.008872983,62434.215,-8.789473e-12,-1.4649121e-12
1.0,3,1,0.010563509,0.0011270166,0.0011270166,62421.336,-4.9457848e-11,-3.942292e-11
1.0,3,2,0.0125,0.0011270166,0.0011270166,62598.566,-1.0609743e-10,-5.856027e-12
1.0,3,3,0.014436492,0.0011270166,0.0011270166,62453.793,-9.67618e-11,-1.1218759e-11
1.0,3,4,0.010563509,0.005,0.0011270166,62421.336,-2.5087314e-11,-8.02794e-11
1.0,3,5,0.0125,0.005,0.0011270166,62598.566,-6.131605e-11,4.4092438e-11
1.0,3,6,0.014436492,0.005,0.0011270166,62453.793,-2.3179937e-11,2.2107555e-11
1.0,3,7,0.010563509,0.008872983,0.0011270166,62421.336,7.167804e-12,1.1468486e-11
1.0,3,8,0.0125,0.008872983,0.0011270166,62598.566,-3.8580885e-11,-2.2046219e-11
1.0,3,9,0.014436492,0.008872983,0.0011270166,62453.793,1.6498176e-13,6.9292336e-11
1.0,3,10,0.010563509,0.0011270166,0.005,62421.336,-6.8810915e-11,-2.647822e-11
1.0,3,11,0.0125,0.0011270166,0.005,62598.566,-9.645221e-12,-6.605666e-11
1.0,3,12,0.014436492,0.0011270166,0.005,62453.793,-1.9467847e-11,-2.4819936e-11
1.0,3,13,0.010563509,0.005,0.005,62421.336,-1.4335608e-11,-2.2766358e-11
1.0,3,14,0.0125,0.005,0.005,62598.566,-2.8935663e-11,-1.6780648e-11
1.0,3,15,0.014436492,0.005,0.005,62453.793,-1.4848359e-11,-4.446608e-12
1.0,3,16,0.010563509,0.008872983,0.005,62421.336,-2.8671215e-12,-1.1340525e-11
1.0,3,17,0.0125,0.008872983,0.005,62598.566,1.10231095e-11,-1.9126452e-11
1.0,3,18,0.014436492,0.008872983,0.005,62453.793,1.4518394e-11,-3.115018e-12
1.0,3,19,0.010563509,0.0011270166,0.008872983,62421.336,1.4335607e-12,-6.4510233e-12
1.0,3,20,0.0125,0.0011270166,0.008872983,62598.566,-3.6514052e-11,5.993816e-11
1.0,3,21,0.014436492,0.0011270166,0.008872983,62453.793,3.8275768e-11,5.7166178e-11
1.0,3,22,0.010563509,0.005,0.008872983,62421.336,-4.300682e-12,3.4405458e-11
1.0,3,23,0.0125,0.005,0.008872983,62598.566,-7.578388e-12,9.645221e-12
1.0,3,24,0.014436492,0.005,0.008872983,62453.793,-2.8871807e-12,4.685482e-11
1.0,3,25,0.010563509,0.008872983,0.008872983,62421.336,-4.300682e-12,1.1468486e-11
1.0,3,26,0.0125,0.008872983,0.008872983,62598.566,-2.066833e-12,5.5115548e-12
1.0,3,27,0.014436492,0.008872983,0.008872983,62453.793,-9.172985e-11,-8.05111e-11
1.0,4,1,0.0155635085,0.0011270166,0.0011270166,62425.195,-1.9274604e-11,7.067355e-12
1.0,4,2,0.0175,0.0011270166,0.0011270166,62674.32,-6.17361e-11,8.43523e-11
1.0,4,3,0.019436492,0.0011270166,0.0011270166,62406.36,-3.35431e-11,-3.2314148e-11
1.0,4,4,0.0155635085,0.005,0.0011270166,62425.195,-2.3129526e-11,7.195852e-11
1.0,4,5,0.0175,0.005,0.0011270166,62674.32,-5.4401122e-11,-7.090483e-11
1.0,4,6,0.019436492,0.005,0.0011270166,62406.36,-2.2844006e-11,4.5109683e-11
1.0,4,7,0.0155635085,0.008872983,0.0011270166,62425.195,-2.6984446e-11,4.1119157e-11
1.0,4,8,0.0175,0.008872983,0.0011270166,62674.32,-5.1956127e-11,-7.3349826e-11
1.0,4,9,0.019436492,0.008872983,0.0011270166,62406.36,-1.7349878e-11,-3.1808108e-11
1.0,4,10,0.0155635085,0.0011270166,0.005,62425.195,-1.0279789e-11,5.713948e-12
1.0,4,11,0.0175,0.0011270166,0.005,62674.32,-6.1124855e-11,4.0056686e-12
1.0,4,12,0.019436492,0.0011270166,0.005,62406.36,-2.6603147e-11,-6.204631e-12
1.0,4,13,0.0155635085,0.005,0.005,62425.195,-1.2849737e-11,2.1707686e-11
1.0,4,14,0.0175,0.005,0.005,62674.32,-1.9559954e-11,3.0562428e-11
1.0,4,15,0.019436492,0.005,0.005,62406.36,-1.1566585e-11,1.9565699e-12
1.0,4,16,0.0155635085,0.008872983,0.005,62425.195,4.1119157e-11,2.75585e-11
1.0,4,17,0.0175,0.008872983,0.005,62674.32,-1.9559954e-11,5.4401122e-11
1.0,4,18,0.019436492,0.008872983,0.005,62406.36,2.9205627e-11,1.2880235e-11
1.0,4,19,0.0155635085,0.0011270166,0.008872983,62425.195,1.2849736e-12,7.709842e-12
1.0,4,20,0.0175,0.0011270166,0.008872983,62674.32,-8.0684806e-11,1.4669965e-11
1.0,4,21,0.019436492,0.0011270166,0.008872983,62406.36,-3.0362286e-11,7.51828e-12
1.0,4,22,0.0155635085,0.005,0.008872983,62425.195,-2.5699473e-12,6.681863e-11
1.0,4,23,0.0175,0.005,0.008872983,62674.32,-6.723734e-12,3.6674913e-11
1.0,4,24,0.019436492,0.005,0.008872983,62406.36,-4.3374696e-12,8.327942e-11
1.0,4,25,0.0155635085,0.008872983,0.008872983,62425.195,-8.994815e-12,2.0559578e-11
1.0,4,26,0.0175,0.008872983,0.008872983,62674.32,6.6014846e-11,9.779977e-11
1.0,4,27,0.019436492,0.008872983,0.008872983,62406.36,-1.0120763e-12,2.4289829e-11
