time,element,point,x,y,z,qx,qy,qz
1.0,1,1,0.0011270166,0.0011270166,0.0011270166,-29838.346,-37438.125,-37437.19
1.0,1,2,0.005,0.0011270166,0.0011270166,14660.832,-8632.136,-8626.517
1.0,1,3,0.008872983,0.0011270166,0.0011270166,59160.01,-2076.8894,-2064.276
1.0,1,4,0.0011270166,0.005,0.0011270166,10086.85,-37441.71,-37444.78
1.0,1,5,0.005,0.005,0.0011270166,32335.285,-8648.052,-8660.176
1.0,1,6,0.008872983,0.005,0.0011270166,54583.723,-2105.1335,-2124.0076
1.0,1,7,0.0011270166,0.008872983,0.0011270166,49999.715,-37445.3,-37447.367
1.0,1,8,0.005,0.008872983,0.0011270166,49997.41,-8663.968,-8671.647
1.0,1,9,0.008872983,0.008872983,0.0011270166,49995.105,-2133.3777,-2144.3652
1.0,1,10,0.0011270166,0.0011270166,0.005,10088.523,-37445.668,-37441.863
1.0,1,11,0.005,0.0011270166,0.005,32339.266,-8665.606,-8647.239
1.0,1,12,0.008872983,0.0011270166,0.005,54590.008,-2136.2856,-2101.0498
1.0,1,13,0.0011270166,0.005,0.005,49996.387,-37444.254,-37444.363
1.0,1,14,0.005,0.005,0.005,49996.387,-8659.335,-8658.333
1.0,1,15,0.008872983,0.005,0.005,49996.387,-2125.156,-2120.7368
1.0,1,16,0.0011270166,0.008872983,0.005,89909.11,-37442.84,-37441.863
1.0,1,17,0.005,0.008872983,0.005,67658.37,-8653.0625,-8647.239
1.0,1,18,0.008872983,0.008872983,0.005,45407.62,-2114.0261,-2101.0498
1.0,1,19,0.0011270166,0.0011270166,0.008872983,49999.34,-37448.125,-37446.535
1.0,1,20,0.005,0.0011270166,0.008872983,50001.65,-8676.511,-8667.961
1.0,1,21,0.008872983,0.0011270166,0.008872983,50003.953,-2155.6375,-2137.8235
1.0,1,22,0.0011270166,0.005,0.008872983,89907.35,-37441.71,-37443.95
1.0,1,23,0.005,0.005,0.008872983,67658.914,-8648.052,-8656.489
1.0,1,24,0.008872983,0.005,0.008872983,45410.477,-2105.1335,-2117.4658
1.0,1,25,0.0011270166,0.008872983,0.008872983,129837.41,-37435.297,-37436.363
1.0,1,26,0.005,0.008872983,0.008872983,85338.23,-8619.593,-8622.83
1.0,1,27,0.008872983,0.008872983,0.008872983,40839.047,-2054.6296,-2057.7341
1.0,2,1,0.0111270165,0.0005635083,0.0011270166,48574.734,-25.296272,-629.1002
1.0,2,2,0.015,0.0005635083,0.0011270166,49354.406,466.16806,-179.67212
1.0,2,3,0.018872984,0.0005635083,0.0011270166,50134.08,213.36472,-1.0911802
1.0,2,4,0.0111270165,0.0025,0.0011270166,49118.04,-1047.1147,-481.88077
1.0,2,5,0.015,0.0025,0.0011270166,49525.574,-109.63518,-109.159966
1.0,2,6,0.018872984,0.0025,0.0011270166,49933.113,83.57675,11.996844
